,AC008810.1,AC093911.1,BECN2,LSS,AL022323.2,TWISTNB,AC010336.3,SPANXA2_OT1,Metazoa_SRP,RPL12P4,RN7SKP64,AC124854.1,SLFNL1_AS1,Metazoa_SRP,IRF5,AL121888.1,DYNLL1P2
03H052,0.008600171761917567,0.056904851336472634,0.5078558716958309,0.32428245529769273,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.7589118923979735,0.0,0.06069784035361165,0.0,0.021189299069938092,0.004321373782642578,0.0
03H060,0.0,0.03742649794062367,0.48855071650044424,0.28103336724772754,0.0,0.0,0.0,0.0,0.0,0.0,0.6031443726201823,0.0,0.146128035678238,0.0,0.14921911265537988,0.0,0.012837224705172217
03H065,0.0,0.23299611039215382,0.34830486304816066,1.2258259914618934,0.029383777685209667,0.004321373782642578,0.0,0.0,0.0,0.03742649794062367,1.0511525224473812,0.0,0.03742649794062367,0.0,0.359835482339888,0.012837224705172217,0.25527250510330607
03H067,0.0,0.12385164096708583,0.6599162000698503,0.6910814921229684,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.9063350418050906,0.0,0.1643528557844371,0.0,0.3424226808222063,0.0,0.11058971029924897
03H070,0.0,0.03742649794062367,0.056904851336472634,0.6766936096248666,0.07188200730612536,0.0,0.0,0.0,0.0,0.06445798922691845,1.0542299098633974,0.0,0.20411998265592482,0.0,0.8463371121298052,0.0,0.0
03H081,0.0,0.10037054511756291,0.012837224705172217,0.9370161074648142,0.04139268515822507,0.0,0.0,0.0,0.8959747323590646,0.0,1.0145205387579237,0.0,0.06069784035361165,0.0,0.32428245529769273,0.0,0.0
03H090,0.0,0.09691001300805642,0.0,1.1464381352857747,0.0,0.0,0.0,0.0,0.0,0.029383777685209667,0.9122220565324155,0.0,0.07918124604762482,0.0,0.01703333929878037,0.0,0.0
03H095,0.0,0.06818586174616162,0.5171958979499743,0.320146286111054,0.029383777685209667,0.0,0.0,0.0,0.0,0.0,1.015778756389041,0.0,0.11727129565576427,0.0,0.15228834438305647,0.0,0.04139268515822507
03H109,0.0,0.06445798922691845,0.416640507338281,0.6085260335771941,0.029383777685209667,0.0,0.0,0.0,0.0,0.008600171761917567,0.9929950984313415,0.0,0.0,0.0,1.2237554536572413,0.0,0.0
03H112,0.0,0.06818586174616162,0.21218760440395779,0.5820633629117087,0.13353890837021748,0.0,0.0,0.0,0.0,0.008600171761917567,0.761927838420529,0.0,0.004321373782642578,0.0,1.1631613749770184,0.0,0.008600171761917567
03H116,0.0,0.1903316981702915,0.012837224705172217,1.368472838440362,0.07554696139253074,0.0,0.0,0.021189299069938092,0.0,0.1205739312058499,1.1126050015345745,0.0,0.08990511143939793,0.0,0.15836249209524964,0.0,0.0
03H119,0.0,0.02530586526477026,0.6730209071288962,0.9498777040368748,0.03342375548694973,0.0,0.0,0.0,0.0,0.03342375548694973,0.9772662124272926,0.0,0.021189299069938092,0.0,0.8048206787211624,0.0,0.0
04H006,0.01703333929878037,0.09342168516223506,0.24303804868629442,0.9912260756924949,0.0,0.0,0.0,0.0,1.0330214446829107,0.03342375548694973,1.0220157398177203,0.0,0.04921802267018165,0.0,0.42813479402878873,0.0,0.012837224705172217
04H024,0.0,0.09691001300805642,0.2944662261615929,0.8698182079793282,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,1.0715138050950892,0.0,0.18752072083646307,0.22010808804005513,0.367355921026019,0.0,0.012837224705172217
04H025,0.0,0.03742649794062367,0.08990511143939793,0.7551122663950712,0.09342168516223506,0.004321373782642578,0.0,0.0,0.0,0.20139712432045143,0.9694159123539814,0.0,0.11727129565576427,0.0,0.850033257689769,0.0,0.0
04H030,0.0,0.07554696139253074,0.557507201905658,0.6020599913279624,0.029383777685209667,0.0,0.0,0.0,0.0,0.0,0.951823035315912,0.0,0.03342375548694973,0.0,1.1448854182871424,0.0,0.008600171761917567
04H039,0.0,0.02530586526477026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02530586526477026,0.0,0.0,0.0,0.0
04H041,0.0,0.08990511143939793,0.5263392773898441,0.9571281976768131,0.03342375548694973,0.0,0.0,0.0,0.0,0.03342375548694973,1.0203612826477078,0.0,0.34830486304816066,0.0,0.31806333496276157,0.0,0.021189299069938092
04H048,0.0,0.07188200730612536,0.04921802267018165,1.1344958558346736,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.8247764624755457,0.0,0.008600171761917567,0.0,0.6946051989335688,0.0,0.0
