,AC131956.2,AL731556.2,PRSS41,AC107081.1,AC012101.2,ZBTB7C,OR4K11P,RN7SL624P,RN7SL581P,PXMP2,LRFN4,FAM168B,LINC01397,ARIH1,RIOK3,FOCAD_AS1,OR2T5,FAM224A,AC064843.1,AC110994.1,AC073284.1,CDC37P1,LAMP2,TEX38,ELAVL4,FCRLB,C4BPB,AL158207.1,AC092636.1,SEC14L5,LINC02668,PIN1,AC002377.1,DDIAS,AL121908.1,RN7SL215P,AC092299.1,HNRNPA3P9,MRPL21,GRM7,AC110620.2,LINC02390,AC066612.1,DUX4L37,CLIP1_AS1,AC124854.1,ANKRD26P3,AC099560.2,AC068418.2,UBE2Q2P6
02H053,0.0,0.0,0.0,0.0,1.7304592600457689,1.681693392004564,0.004321373782642578,0.0,1.7567121601647715,0.19865708695442263,0.0,0.0,0.0,0.021189299069938092,0.0,0.37106786227173627,0.0,0.0,1.4841574243653808,0.0,0.008600171761917567,0.0,0.01703333929878037,1.6869042695681773,0.0,0.0,0.0,0.004321373782642578,0.0,0.2764618041732442,0.146128035678238,0.004321373782642578,0.05307844348341968,0.0,0.09691001300805642,0.11727129565576427,0.21218760440395779,0.0,0.01703333929878037,0.1430148002540951,0.0,0.0,1.7995473071256152,0.008600171761917567,0.0,0.02530586526477026,0.0,0.012837224705172217,0.0,0.909020854211156
02H066,0.0,0.0,0.0,0.0,1.7182525000977507,1.7241939195143297,0.0,0.012837224705172217,1.7743709598499167,0.09342168516223506,0.0,0.0,0.0,0.04532297878665747,0.0,0.3996737214810381,0.01703333929878037,0.0,1.754501229386917,0.04921802267018165,0.008600171761917567,0.0,0.18752072083646307,1.999739345106568,0.0,0.0,0.0,0.0,0.0,0.7395723444500919,0.24303804868629442,0.012837224705172217,0.08635983067474821,0.0,0.20682587603184968,0.1430148002540951,0.1367205671564068,0.0,0.12710479836480765,0.2576785748691845,0.0,0.0,1.8284665473526784,0.0,0.0,0.029383777685209667,0.0,0.0,0.04921802267018165,0.8337843746564789
03H016,0.0,0.0,0.0,0.0,2.015024263324625,1.7492724082984203,0.0,0.0,1.445759836488631,0.0,0.0,0.0,0.0,0.01703333929878037,0.0,0.3096301674258988,0.004321373782642578,0.0,1.7777891874348675,0.0,0.056904851336472634,0.004321373782642578,0.24551266781414982,1.5613399414589013,0.0,0.0,0.0,0.03742649794062367,0.5728716022004803,0.44560420327359757,0.06069784035361165,0.0,0.11394335230683678,0.0,0.09691001300805642,0.1931245983544616,0.10037054511756291,0.0,0.4329692908744057,0.22788670461367355,0.0,0.0,1.4415380387021608,0.04532297878665747,0.0,0.06445798922691845,0.0,0.0,0.0,0.6580113966571124
03H022,0.0,0.0,0.004321373782642578,0.0,1.904066051914503,1.8540630118664212,0.0,0.0,1.7777891874348675,0.13353890837021748,0.0,0.0,0.0,0.04532297878665747,0.0,0.1846914308175988,0.012837224705172217,0.029383777685209667,1.8478193472952393,0.0,0.09342168516223506,0.0,0.909020854211156,1.665393350279712,0.0,0.0,0.0,0.15836249209524964,0.0,0.20139712432045143,0.13353890837021748,0.1430148002540951,0.08990511143939793,0.0,0.1643528557844371,0.08635983067474821,0.04921802267018165,0.0,0.1643528557844371,0.26481782300953643,0.0,0.05307844348341968,1.4191293077419758,0.04532297878665747,0.0,0.012837224705172217,0.0,0.0,0.0,1.0565237240791003
03H024,0.0,0.0,0.0,0.0,1.930235652766285,1.6885977750811698,0.0,0.0,1.5622928644564746,0.0,0.0,0.0,0.0,0.10037054511756291,0.0,0.5646660642520893,0.004321373782642578,0.0,1.4683473304121573,0.0,0.01703333929878037,0.0,0.20682587603184968,1.6375897858386999,0.0,0.0,0.0,0.07188200730612536,0.0,0.07188200730612536,0.13353890837021748,0.056904851336472634,0.17026171539495738,0.0,0.03742649794062367,0.22010808804005513,0.01703333929878037,0.0,0.0,0.2528530309798932,0.0,0.0,1.380934463330702,0.06445798922691845,0.0,0.021189299069938092,0.0,0.0,0.0,0.6989700043360189
03H028,0.0,0.0,0.5211380837040362,0.0,0.8825245379548805,1.3996737214810382,0.0,0.0,1.7821858664920165,0.0,0.0,0.0,0.0,0.012837224705172217,0.0,0.146128035678238,0.008600171761917567,0.11727129565576427,1.5724068675580558,0.0,0.021189299069938092,0.0,0.3944516808262163,1.752662943120972,0.0,0.0,0.04532297878665747,0.0,0.0,0.004321373782642578,0.08635983067474821,0.012837224705172217,0.34044411484011833,0.0,0.14921911265537988,0.07554696139253074,0.02530586526477026,0.0,0.7032913781186614,0.1430148002540951,0.0,0.0,1.594282028811806,0.07918124604762482,0.0,0.0,0.2671717284030138,0.0,0.07918124604762482,0.9030899869919435
03H033,0.06818586174616162,0.0,0.008600171761917567,0.008600171761917567,1.6667051361198988,1.5787537844264345,0.004321373782642578,0.004321373782642578,1.6693168805661123,0.10720996964786837,0.004321373782642578,0.0,0.004321373782642578,0.02530586526477026,0.004321373782642578,0.47712125471966244,0.004321373782642578,0.004321373782642578,1.635282637998212,0.0,0.004321373782642578,0.008600171761917567,0.1205739312058499,2.0005642161653756,0.0,0.0,0.0,0.0,0.004321373782642578,0.21748394421390624,0.1205739312058499,0.004321373782642578,0.06818586174616162,0.0,0.16136800223497488,0.12710479836480765,0.12385164096708583,0.021189299069938092,0.08990511143939793,0.25527250510330607,0.0,0.04139268515822507,1.6924062348336304,0.04532297878665747,0.008600171761917567,0.008600171761917567,0.0,0.012837224705172217,0.02530586526477026,0.7331972651065695
03H036,0.0,0.0,0.004321373782642578,0.0,2.108192805135042,2.058084224750925,0.01703333929878037,0.0,1.8402943316114362,0.08990511143939793,0.0,0.0,0.0,0.10380372095595687,0.0,0.7427251313046983,0.008600171761917567,0.004321373782642578,1.8467081454560068,0.0,0.02530586526477026,0.0,0.5693739096150459,2.210238236161727,0.0,0.0,0.0,0.0,0.004321373782642578,0.26481782300953643,0.11394335230683678,0.20411998265592482,0.20951501454263097,0.0,0.29885307640970665,0.1553360374650618,0.03342375548694973,0.0,0.012837224705172217,0.20139712432045143,0.0,0.0,1.4446692309385245,0.012837224705172217,0.0,0.08635983067474821,0.0,0.0,0.0,1.2127201544178423
03H041,0.06818586174616162,0.0,0.01703333929878037,0.0,1.8533939774506658,1.793231447056521,0.0,0.0,1.6358856852812727,0.07554696139253074,0.0,0.0,0.0,0.0,0.0,0.2741578492636798,0.0,0.0,1.6815125866389622,0.0,0.012837224705172217,0.0,0.11727129565576427,1.960518342780708,0.0,0.0,0.0,0.1367205671564068,0.0,0.22530928172586287,0.13353890837021748,0.06445798922691845,0.13033376849500614,0.0,0.04921802267018165,0.1367205671564068,0.15228834438305647,0.0,0.13353890837021748,0.3222192947339193,0.0,0.056904851336472634,1.5931752634781025,0.146128035678238,0.0,0.029383777685209667,0.0,0.0,0.004321373782642578,0.7745169657285496
03H052,0.0,0.0,0.004321373782642578,0.004321373782642578,1.8636796678758978,1.7416242575038121,0.004321373782642578,0.021189299069938092,1.5755342183198644,0.03742649794062367,0.004321373782642578,0.0,0.0,0.02530586526477026,0.008600171761917567,0.15836249209524964,0.0,0.004321373782642578,1.4468477101558088,0.0,0.06069784035361165,0.0,0.23299611039215382,1.6006462356623945,0.0,0.0,0.0,0.04532297878665747,0.008600171761917567,0.19589965240923368,0.056904851336472634,0.0,0.06445798922691845,0.012837224705172217,0.19865708695442263,0.09691001300805642,0.13353890837021748,0.021189299069938092,0.12710479836480765,0.20411998265592482,0.0,0.012837224705172217,1.6491400641442189,0.2304489213782739,0.004321373782642578,0.021189299069938092,0.0,0.02530586526477026,0.004321373782642578,0.7323937598229685
