,GDF3,AC234917.1,LINC02313,AC087441.1,AC005670.2,AL591438.2,AC106798.1,CYP3A4,AC093627.4,AC004832.5,CARMIL3,AL049766.3,MCF2L2,AP001357.2,OR10Y1P,SLAMF6,U1
06H011,0.0,1.2427898094786765,0.0,0.07188200730612536,0.01703333929878037,0.5453071164658241,0.4345689040341987,0.9469432706978254,0.0,1.318897714627487,0.0,0.5843312243675307,0.0,0.8254261177678232,0.0,0.012837224705172217,0.02530586526477026
06H019,0.0,1.2352758766870524,0.0,0.06445798922691845,0.0,0.7803173121401513,0.004321373782642578,0.9405164849325671,0.0,1.368472838440362,0.0,1.6092741724045876,0.0,0.6374897295125107,0.0,0.004321373782642578,0.11058971029924897
06H020,0.0,1.2019430634016501,0.0,0.06069784035361165,0.03342375548694973,0.7218106152125465,0.008600171761917567,0.7315887651867387,0.08635983067474821,1.3240765797394864,0.0,0.44560420327359757,0.0,0.4578818967339924,0.0,0.004321373782642578,0.0
06H021,0.0,1.279210512601395,0.0,0.03742649794062367,0.0,0.5132176000679389,0.1643528557844371,0.9206450014067876,0.0,1.2137832993353042,0.0,1.1129399760840801,0.0,0.6989700043360189,0.0,0.0,0.03742649794062367
06H026,0.0,1.044539760392411,0.0,0.13033376849500614,0.021189299069938092,0.7909884750888159,0.012837224705172217,0.9273703630390235,0.0,1.2938043599193367,0.0,0.42813479402878873,0.0,0.7810369386211318,0.0,0.004321373782642578,0.09342168516223506
06H028,0.01703333929878037,1.2727695865517594,0.0,0.07554696139253074,0.021189299069938092,0.6541765418779605,0.04921802267018165,0.012837224705172217,0.0,1.3778524190067545,0.11058971029924897,0.34044411484011833,0.0,0.8698182079793282,0.0,0.004321373782642578,0.008600171761917567
06H029,0.0,1.5836521085420439,0.0,0.03742649794062367,0.0,0.8175653695597808,0.03342375548694973,0.9148718175400503,0.1205739312058499,1.4418521757732918,0.0,0.09691001300805642,0.0,0.8048206787211624,0.0,0.008600171761917567,0.0
06H035,0.0,1.2638726768652235,0.0,0.04139268515822507,0.0,0.5502283530550941,0.0,0.5820633629117087,0.012837224705172217,1.3854275148051305,0.0,2.088809166461293,0.0,0.36361197989214433,0.0,0.008600171761917567,0.03342375548694973
06H038,0.0,1.462697408101717,0.0,0.021189299069938092,0.0,0.39093510710337914,0.06818586174616162,0.6551384348113821,0.01703333929878037,1.478854967528663,0.0,0.8475726591421122,0.0,0.6414741105040995,0.0,0.004321373782642578,0.0
06H045,0.0,1.351409751925439,0.0,0.07188200730612536,0.0,0.4409090820652177,0.02530586526477026,0.9370161074648142,0.0,1.348888723071438,0.0,0.7788744720027395,0.0,0.5453071164658241,0.0,0.008600171761917567,0.021189299069938092
06H048,0.0,1.1749315935284426,0.0,0.03742649794062367,0.0,0.5428254269591799,0.029383777685209667,0.7902851640332417,0.0,1.29754166781816,0.0,1.7339191510123908,0.004321373782642578,0.4927603890268375,0.0,0.004321373782642578,0.2787536009528289
06H066,0.0,1.2678754193188975,0.0,0.11394335230683678,0.0,0.3891660843645325,0.0,0.8475726591421122,0.029383777685209667,1.3147096929551738,0.0,0.20951501454263097,0.0,0.6454222693490919,0.0,0.004321373782642578,0.008600171761917567
06H073,0.0,1.3868555291847242,0.0,0.07188200730612536,0.0,0.5490032620257879,0.01703333929878037,0.795184589682424,0.07918124604762482,1.3692158574101427,0.0,0.13353890837021748,0.0,0.7795964912578245,0.0,0.02530586526477026,0.07188200730612536
06H074,0.0,1.4313637641589874,0.0,0.1367205671564068,0.0,0.07918124604762482,0.04532297878665747,0.17026171539495738,0.0,1.5721743136130595,0.0,0.6211762817750351,0.008600171761917567,0.7708520116421442,0.0,0.17026171539495738,0.03342375548694973
06H075,0.0,1.5939502952639875,0.0,0.06445798922691845,0.021189299069938092,0.13987908640123647,0.012837224705172217,0.885361220031512,0.008600171761917567,1.563599728881531,0.0,0.829946695941636,0.0,0.41161970596323016,0.0,0.0,0.18752072083646307
06H077,0.0,1.3679147387937527,0.0,0.0,0.0,0.02530586526477026,0.0,0.14921911265537988,0.004321373782642578,1.4792873164761702,0.05307844348341968,0.41161970596323016,0.0,0.22010808804005513,0.0,0.04921802267018165,0.06445798922691845
06H088,0.0,1.0056094453602804,0.0,0.06069784035361165,0.0,0.37106786227173627,0.414973347970818,0.890979596989689,0.0,1.1981069988734014,0.0,0.48287358360875376,0.0,0.6848453616444125,0.0,0.008600171761917567,0.008600171761917567
06H089,0.0,1.4404367661057738,0.0,0.04921802267018165,0.0,0.403120521175818,0.01703333929878037,0.948412965778601,0.07918124604762482,1.3861421089308184,0.0,1.0784568180532925,0.0,0.7730546933642626,0.0,0.0,0.04921802267018165
06H099,0.0,1.5059635180181261,0.0,0.05307844348341968,0.0,0.08635983067474821,0.021189299069938092,0.9079485216122722,0.008600171761917567,1.4273237863572472,0.0,0.5065050324048721,0.0,0.5105450102066121,0.0,0.004321373782642578,0.012837224705172217
06H103,0.0,1.7583819417746753,0.0,0.02530586526477026,0.0,0.04921802267018165,0.012837224705172217,0.47275644931721233,0.0,1.5100085129402347,0.0,0.7185016888672743,0.0,0.3364597338485295,0.0,0.008600171761917567,0.0
06H106,0.0,1.5229655954919865,0.0,0.13353890837021748,0.0,0.19865708695442263,0.26007138798507473,0.7450747915820575,0.03342375548694973,1.1189257528257768,0.09342168516223506,1.0499928569201427,0.0,0.5440680443502757,0.0,0.004321373782642578,0.0
06H115,0.0,1.4121244061733171,0.0,0.09691001300805642,0.0,0.5145477526602861,0.0,0.787460474518415,0.021189299069938092,1.236537261488694,0.0,0.7745169657285496,0.0,0.7160033436347992,0.0,0.0,0.0
06H117,0.0,1.1245042248342823,0.008600171761917567,0.02530586526477026,0.0,0.41161970596323016,0.06445798922691845,0.2966651902615311,0.008600171761917567,1.4176377396522297,0.0,0.7656685547590141,0.0,0.5132176000679389,0.0,0.0,0.01703333929878037
06H133,0.0,1.525304009958239,0.0,0.42813479402878873,0.0,0.3820170425748684,0.008600171761917567,0.7084209001347128,0.021189299069938092,1.498999363580153,0.0,0.6785183790401139,0.0,0.756636108245848,0.0,0.029383777685209667,0.0
