,U3,LBHD1,POM121L3P,AC104076.1,AC023355.1,LNCNEF,TRGV2,DSCR9,TMED1,LINC02267,RNU6_307P,PDLIM1P3,CDX1,AC010463.1,ST6GALNAC4P1,RAD23BP3,FAM222B,AC027612.2,MKX,RN7SKP180,CLIP3,AL451042.1,LINC01478,FGFRL1,AC018761.2,OR7E158P,AC091152.1,RHOXF1P3,PCDHAC2,TIGD3,LINC02366,RPL7AP69,AL359538.4,AC107954.1,AC147651.1,AC025268.1,PDZRN4,CALML6,AL365434.2,AL355990.2,AC068790.2,AC005753.3,CBWD6,AC108457.1,AC108477.2,CALB1,AC004982.2,MAOA,NPIPB15,MAML1
02H053,0.004321373782642578,0.0,0.0,0.13987908640123647,0.37839790094813763,1.1389339402569236,0.0,0.5428254269591799,0.0,0.012837224705172217,0.029383777685209667,0.0,0.012837224705172217,0.0,0.0,0.10720996964786837,0.0,0.1430148002540951,0.5301996982030822,0.13033376849500614,1.344588742578714,0.008600171761917567,0.0,0.01703333929878037,0.0,1.3224260524059526,0.14921911265537988,0.0,1.1838390370564211,0.004321373782642578,0.10720996964786837,0.7315887651867387,1.9281397068751198,1.2748503200166648,0.0,0.11058971029924897,0.029383777685209667,0.10037054511756291,0.0,0.639486489268586,0.6464037262230695,2.351293718309777,0.0,0.0,0.03342375548694973,0.0,0.41995574848975786,0.012837224705172217,0.0,0.0
02H066,0.02530586526477026,0.0,0.0,0.20951501454263097,0.24303804868629442,1.0766404436703418,0.0,0.5502283530550941,0.0,0.0,0.06818586174616162,0.0,0.06069784035361165,0.0,0.0,0.1430148002540951,0.0,0.06818586174616162,0.617000341120899,0.49968708261840383,1.4905203093633488,0.0,0.0,0.021189299069938092,0.0,1.480868923687168,0.414973347970818,0.0,1.3988077302032647,0.008600171761917567,0.0,1.0417873189717517,1.9618006391916785,1.7969903905456863,0.0,0.22271647114758328,0.20139712432045143,0.13987908640123647,0.0,0.7993405494535817,0.7708520116421442,2.420698202908807,0.01703333929878037,0.0,0.056904851336472634,0.0,0.2764618041732442,0.3856062735983121,0.0,0.0
03H016,0.008600171761917567,0.0,0.0,0.22788670461367355,0.6608654780038692,1.5046067706419537,0.0,0.9680157139936417,0.0,0.0,0.1643528557844371,0.0,0.02530586526477026,0.0,0.0,0.11058971029924897,0.012837224705172217,0.33041377334919075,0.19865708695442263,0.0,1.730862992046494,0.0,0.004321373782642578,0.0,0.0,1.8672906698548841,0.08278537031645007,0.0,1.018284308426531,0.056904851336472634,0.4638929889859073,1.0877814178095424,1.7641761323903307,1.5485122563410354,0.0,0.32633586092875144,0.21748394421390624,0.07554696139253074,0.0,0.8887409606828927,1.015778756389041,2.375352639232759,0.0,0.0,0.07188200730612536,0.004321373782642578,0.1430148002540951,0.290034611362518,0.0,0.0
03H022,0.012837224705172217,0.0,0.0,0.2304489213782739,0.34635297445063856,1.3106933123433606,0.0,0.8169038393756602,0.0,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.3424226808222063,0.0,0.5263392773898441,0.2741578492636798,0.0,1.961041216953312,0.0,0.0,0.0,0.0,1.3942765267678214,0.7209857441537391,0.0,1.0111473607757975,0.021189299069938092,0.35793484700045386,0.989894563718773,1.9957229219954653,1.420615770625765,0.0,0.367355921026019,0.2787536009528289,0.05307844348341968,0.0,0.8750612633917001,1.3126004392612594,2.3954836543451696,0.05307844348341968,0.0,0.021189299069938092,0.02530586526477026,0.10380372095595687,0.14921911265537988,0.0,0.0
03H024,0.04139268515822507,0.0,0.0,0.1205739312058499,0.34044411484011833,0.9754318085092629,0.0,0.8943160626844384,0.0,0.0,0.0,0.0,0.04921802267018165,0.0,0.0,0.22530928172586287,0.012837224705172217,0.01703333929878037,0.3443922736851107,0.18752072083646307,1.791971201020768,0.0,0.0,0.0,0.004321373782642578,1.1781132523146318,0.436162647040756,0.0,1.4153072922255674,0.03342375548694973,0.15836249209524964,0.9684829485539351,1.582744965691277,1.1525940779274697,0.0,0.5646660642520893,0.08990511143939793,0.06069784035361165,0.0,0.6354837468149122,0.724275869600789,2.146283113159587,0.0,0.0,0.07554696139253074,0.0,0.09691001300805642,0.21748394421390624,0.0,0.0
03H028,0.01703333929878037,0.0,0.0,0.1430148002540951,0.03742649794062367,0.9498777040368748,0.0,0.4345689040341987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1610683854711747,0.0,0.10720996964786837,0.26245108973042947,0.0,1.7128180002078501,0.0,0.0,0.0,0.0,1.24551266781415,0.5092025223311029,0.0,2.2132520521963968,0.0,0.1367205671564068,1.344195715871435,2.0437551269686796,1.7207379770184252,0.0,0.2787536009528289,0.0,0.0,0.0,1.4225898398514822,0.7979596437371961,2.027879409207207,0.0,0.0,0.07918124604762482,0.0,0.0,0.17318626841227402,0.0,0.0
03H033,0.008600171761917567,0.0,0.0,0.13353890837021748,0.21748394421390624,0.9143431571194408,0.0,0.5865873046717549,0.0,0.0,0.10380372095595687,0.012837224705172217,0.04921802267018165,0.0,0.0,0.09342168516223506,0.008600171761917567,0.06818586174616162,0.3344537511509309,0.0,1.766784515497859,0.0,0.021189299069938092,0.01703333929878037,0.004321373782642578,1.5772619535858148,0.23299611039215382,0.008600171761917567,0.7993405494535817,0.01703333929878037,0.22271647114758328,1.2591158441850663,1.6732974397596359,1.4367985102318035,0.0,0.2528530309798932,0.0,0.11727129565576427,0.0,0.7007037171450193,0.7403626894942439,2.1645610292655566,0.008600171761917567,0.0,0.07554696139253074,0.004321373782642578,0.13987908640123647,0.06069784035361165,0.004321373782642578,0.0
03H036,0.17897694729316943,0.0,0.0,0.1903316981702915,0.07918124604762482,1.3628593029586802,0.0,0.7512791039833423,0.0,0.0,0.0,0.0,0.07554696139253074,0.0,0.0,0.37839790094813763,0.0,0.12385164096708583,0.48000694295715063,0.29885307640970665,1.7543483357110188,0.0,0.0,0.0,0.0,1.4261858252445114,0.6434526764861874,0.0,0.7283537820212285,0.02530586526477026,0.0,1.2263420871636308,1.6696887080562082,1.4092566520389096,0.0,0.7201593034059569,0.1367205671564068,0.1931245983544616,0.0,0.8621313793130372,1.0132586652835165,2.357953894586339,0.012837224705172217,0.03742649794062367,0.13033376849500614,0.0,0.12710479836480765,0.08278537031645007,0.0,0.0
03H041,0.008600171761917567,0.0,0.0,0.16136800223497488,0.34635297445063856,1.1209028176145273,0.0,0.17026171539495738,0.0,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.10380372095595687,0.0,0.1367205671564068,0.38021124171160603,0.250420002308894,1.646207612206685,0.0,0.0,0.0,0.0,1.5905074620085833,0.31386722036915343,0.0,0.7693773260761385,0.0,0.0,1.2092468487533736,1.874307833128039,1.5549734583332397,0.0,0.30319605742048883,0.06445798922691845,0.10380372095595687,0.0,0.756636108245848,1.021189299069938,2.458939861890326,0.0,0.021189299069938092,0.04921802267018165,0.004321373782642578,0.2966651902615311,0.12710479836480765,0.0,0.0
03H052,0.004321373782642578,0.0,0.012837224705172217,0.1553360374650618,0.5037906830571811,1.3585059114902351,0.0,0.6875289612146344,0.01703333929878037,0.0,0.09691001300805642,0.0,0.0,0.0,0.0,0.10720996964786837,0.0,0.24551266781414982,0.1430148002540951,0.15228834438305647,1.498999363580153,0.0,0.0,0.0,0.0,1.6872613462435064,0.13033376849500614,0.0,0.8273692730538252,0.02530586526477026,0.22271647114758328,0.8432327780980093,1.8278214276828022,1.366982975977851,0.0,0.2741578492636798,0.11394335230683678,0.11058971029924897,0.0,0.7972675408307164,0.8555191556678001,2.5902732477957398,0.021189299069938092,0.004321373782642578,0.04532297878665747,0.0,0.09691001300805642,0.35602585719312274,0.0,0.0
