,ZNF699,AC104574.1,SRRM4,AC008278.2,SOCS2P2,AC138894.4,SNORA74B,CEP295,AL590286.2,KRT18P47,ECH1,RN7SKP20,MTCO3P30,NBEAP5,AC091057.5,AC116553.1,KRT18P25,AARSP1,LINC02192,DNAJC19P7,AC068790.7,AL132639.3,LINC02669,AC010401.1,HPR,ZNF674_AS1,MRPL1,RN7SL582P,AC104521.1,FAM222B,AC135279.2,AC078788.2,RNA5S5,WDR44,AL691477.1,ELOBP1,CRCT1,AL135926.1,KIF15,EMCN,AL031575.1,AC022486.1,NHLRC3,KRT71,BHLHB9P1,MRPS17P3,WT1,SERPINE3,POLR2J,KCTD9P4
02H053,0.0,0.6222140229662952,0.04532297878665747,0.08990511143939793,0.3344537511509309,0.6839471307515121,0.885361220031512,0.008600171761917567,0.0,1.0346284566253203,0.0,1.1708482036433094,0.8305886686851442,1.5854607295085006,0.4742162640762552,0.28555730900777376,0.17609125905568124,1.7091851295502454,0.0,0.6884198220027106,0.0,0.0,0.0,0.0,0.0,1.2650537885040147,0.03342375548694973,0.0,0.3443922736851107,0.0,0.9542425094393249,0.0,0.012837224705172217,0.01703333929878037,0.0,0.3729120029701066,0.07554696139253074,0.0,0.004321373782642578,0.004321373782642578,0.11727129565576427,0.0,0.06069784035361165,1.089551882886454,0.437750562820388,0.05307844348341968,0.004321373782642578,0.0,1.1749315935284426,0.004321373782642578
02H066,0.0,0.9599948383284161,0.05307844348341968,0.06445798922691845,0.4345689040341987,0.8680563618230416,1.0557604646877348,0.0,0.0,0.9740509027928773,0.0,1.2219355998280053,0.8603380065709937,1.8232133132826676,0.6384892569546373,0.3053513694466238,0.38021124171160603,1.5979144712025282,0.008600171761917567,1.216957207361097,0.0,0.004321373782642578,0.0,0.0,0.004321373782642578,1.4019172505175745,0.004321373782642578,0.0,0.6937269489236468,0.0,1.2817149700272958,0.012837224705172217,0.0,0.02530586526477026,0.0,0.2576785748691845,0.09342168516223506,0.0,0.008600171761917567,0.01703333929878037,0.12710479836480765,0.0,0.06069784035361165,1.1020905255118367,0.505149978319906,0.01703333929878037,0.029383777685209667,0.02530586526477026,1.1878026387184193,0.004321373782642578
03H016,0.0,0.9768083373380663,0.04532297878665747,0.03742649794062367,0.8609366207000937,0.7403626894942439,1.0034605321095065,0.029383777685209667,0.0,1.4628470358316736,0.0,0.6665179805548809,0.7259116322950482,1.9399682905513362,0.8034571156484139,0.10380372095595687,0.2671717284030138,1.7829739949440482,0.0,0.1903316981702915,0.0,0.008600171761917567,0.004321373782642578,0.0,0.0,1.6188844849954505,0.741151598851785,0.06069784035361165,0.8413594704548549,0.0,1.402433346219312,0.0,0.0,0.0,0.0,0.1846914308175988,0.07554696139253074,0.0,0.0,0.23299611039215382,0.22271647114758328,0.0,0.06818586174616162,1.8984509191983747,0.10037054511756291,0.0,0.029383777685209667,0.01703333929878037,1.6776981814745107,0.05307844348341968
03H022,0.0,0.6344772701607316,0.0,0.09691001300805642,0.615950051656401,1.1818435879447726,1.1464381352857747,0.01703333929878037,0.0,1.6086329894900369,0.0,0.9324737646771531,0.6334684555795865,1.6464037262230695,1.1014033505553307,0.1553360374650618,1.2600713879850747,1.9588981947107718,0.0,0.8970770032094203,0.20411998265592482,0.04921802267018165,0.0,0.0,0.0,1.4225898398514822,0.008600171761917567,0.056904851336472634,1.2190603324488614,0.0,1.330007700872759,0.0,0.0,0.0,0.0,0.6493348587121419,0.08278537031645007,0.0,0.146128035678238,0.24054924828259971,0.11394335230683678,0.056904851336472634,0.17026171539495738,1.708675792726537,0.17318626841227402,0.05307844348341968,0.0,0.0,1.5471591213274176,0.029383777685209667
03H024,0.0,1.0842186867392387,0.03342375548694973,0.11058971029924897,0.7671558660821804,0.9552065375419417,0.8920946026904804,0.01703333929878037,0.0,1.2598326990634836,0.0,1.0655797147284485,0.6560982020128319,1.7479553069067297,0.6848453616444125,0.49554433754644844,1.6624745037503095,1.2823955047425255,0.0,0.07554696139253074,0.04921802267018165,0.06445798922691845,0.0,0.0,0.0,1.2148438480476977,0.13987908640123647,0.0,1.2227164711475833,0.0,1.1051694279993316,0.0,0.0,0.0,0.0,0.08990511143939793,0.09691001300805642,0.0,0.01703333929878037,0.20682587603184968,0.16731733474817606,0.0,0.07554696139253074,1.1667260555800518,0.5224442335063199,0.0,0.004321373782642578,0.0,1.0762762554042176,0.0
03H028,0.0,0.15836249209524964,0.012837224705172217,0.029383777685209667,0.21748394421390624,1.0314084642516241,1.1583624920952498,0.2966651902615311,0.0,0.5211380837040362,0.0,0.6106601630898799,0.5899496013257077,1.7821858664920165,1.3246939138617746,0.8312296938670634,1.9253120914996495,1.9361617409111576,0.0,0.12385164096708583,0.0,0.008600171761917567,0.0,0.0,0.0,1.6839471307515121,0.02530586526477026,0.0,0.9790929006383263,0.0,1.6189889203649337,0.0,0.0,0.0,0.008600171761917567,0.08278537031645007,0.02530586526477026,0.4899584794248346,0.004321373782642578,0.42813479402878873,0.13987908640123647,0.0,0.07188200730612536,1.5154764413823758,1.1129399760840801,0.0,0.0,0.0,0.8088858673598122,0.004321373782642578
03H033,0.0,0.960470777534299,0.09342168516223506,0.07918124604762482,0.5877109650189114,0.6812412373755872,0.8573324964312685,0.029383777685209667,0.008600171761917567,1.021189299069938,0.0,0.8970770032094203,0.7664128471123994,1.7346398389876994,0.22788670461367355,0.2576785748691845,0.761927838420529,1.5969268143429707,0.0,0.403120521175818,0.0,0.04139268515822507,0.004321373782642578,0.004321373782642578,0.0,1.4299136977637545,0.021189299069938092,0.01703333929878037,0.5327543789924978,0.0,1.2889196056617265,0.0,0.004321373782642578,0.0,0.0,0.416640507338281,0.04532297878665747,0.01703333929878037,0.012837224705172217,0.1931245983544616,0.17609125905568124,0.0,0.06069784035361165,1.1335389083702174,0.23299611039215382,0.029383777685209667,0.021189299069938092,0.012837224705172217,1.299942900022767,0.03742649794062367
03H036,0.0,0.9973863843973133,0.02530586526477026,0.0,0.8055008581584001,0.952792443044092,1.1142772965615864,0.08635983067474821,0.0,1.6861892342440237,0.0,0.9754318085092629,1.0584260244570054,1.8427963951755801,0.9237619608287003,0.6424645202421214,1.2607866686549762,1.5284024379536174,0.0,0.06818586174616162,0.1367205671564068,0.5490032620257879,0.0,0.0,0.0,1.3594560201209867,0.21748394421390624,0.0,1.4380674504534938,0.0,1.1815577738627863,0.0,0.0,0.12385164096708583,0.01703333929878037,0.367355921026019,0.16136800223497488,0.0,0.06818586174616162,0.004321373782642578,0.30319605742048883,0.06818586174616162,0.07188200730612536,1.3995006613146106,0.250420002308894,0.0,0.06445798922691845,0.01703333929878037,1.400192488592576,0.004321373782642578
03H041,0.0,0.72916478969277,0.0,0.05307844348341968,0.5670263661590604,1.0549958615291415,1.2324878663529861,0.008600171761917567,0.0,1.325720858019412,0.0,1.0655797147284485,0.7596678446896306,1.7076553235311869,0.28555730900777376,0.3283796034387377,0.8142475957319202,1.6467956887784694,0.0,0.13353890837021748,0.0,0.07188200730612536,0.0,0.0,0.0,1.4483971034577676,0.20139712432045143,0.0,0.9237619608287003,0.0,1.4061994236633129,0.0,0.0,0.07554696139253074,0.0,0.5797835966168101,0.0,0.0,0.06069784035361165,0.0,0.26481782300953643,0.0,0.17609125905568124,1.3624824747511743,0.1846914308175988,0.056904851336472634,0.021189299069938092,0.012837224705172217,1.6351820486562676,0.15836249209524964
03H052,0.0,0.3944516808262163,0.021189299069938092,0.05307844348341968,0.5403294747908738,0.7481880270062005,0.8506462351830666,0.04921802267018165,0.0,1.3378584290410944,0.004321373782642578,0.8356905714924255,0.6253124509616739,1.63558426631123,0.6503075231319365,0.1553360374650618,0.8555191556678001,1.8028421127390744,0.0,0.11727129565576427,0.01703333929878037,0.008600171761917567,0.0,0.0,0.004321373782642578,1.4423229557455746,0.2741578492636798,0.0,0.8095597146352678,0.008600171761917567,1.2732328340430457,0.0,0.0,0.01703333929878037,0.0,0.07188200730612536,0.0,0.0,0.02530586526477026,0.004321373782642578,0.1553360374650618,0.01703333929878037,0.056904851336472634,1.684665864025861,0.17609125905568124,0.012837224705172217,0.012837224705172217,0.02530586526477026,1.7584576886104657,0.01703333929878037
