,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
12H039,9.101125438099215,-13.983264809613832,7.465992456680097,-7.624284390594774,3.7975870250134776,-4.094530222831054,-0.8110972521127362,4.56442325247502,-5.270603123011769,0.6077788968111888,3.9433033966640605,8.55066194438119,-0.5551167880890613,-4.372574983516137,-10.737514046536052,-1.8236701384384166,4.146118501846495,-2.7527247690836085,7.1641947212800385,1.5869150163641315,3.9637053780807774,-4.858387291482307,-2.689304468237594,-0.4704344392645747,2.761085120174549,-0.9738531798125789,2.0655209731097375,1.4935392301293167,4.927503314916111,1.3657201664860001,-0.08604786966121444,0.2892685540906419,-0.029245420090031254,-0.02357149019243618,-0.6091914508729186,3.9027316237626652,3.8766703065747494,0.4008818447512863,5.2398992325188045,0.10938275578760637,-1.2269153521741971,-0.877864603567155,-1.810425544517805,1.1330346726331775,-0.8215184201882255,-2.319561427606807,0.5104834606366377,-1.750854465590633,0.44885878275151625,-0.35309065745423496
12H042,-3.6013572404556267,5.044606725103416,8.981807640508892,4.965074920194482,1.3062049741692872,-9.680525208066436,8.90316411809023,0.7394058192693018,8.437100692379552,0.15153819783669586,0.6714340538646797,-1.5951184740873352,4.0429576907358005,9.29338121855037,-0.3285127722617521,-6.468734356673439,8.048671710669288,4.606914697298361,1.2421766963511751,-4.156896683893185,-4.3221660963906885,3.8766982621050317,1.6565171561647785,0.6580231546824219,1.7611172358325131,-1.1885872350487274,0.6442041735836639,0.9875183969948707,0.2777872389606973,0.5534646322487832,-0.5447491208799646,2.9773758820971215,-1.3898958963162493,0.6620535922138113,0.9570851175783825,-1.6904027533330452,1.0050885321609355,0.43170183893456293,-1.9137700600979082,-0.4067461633333823,0.6561898479937487,1.8884474610475515,1.8959255892064109,0.620099726630712,-1.087076944158735,-0.6352757182952025,-0.6801827888630506,0.4422221439760225,0.5515644170594324,0.13515939503786756
12H044,-11.797130185189175,6.594722591509554,-3.0498949162519935,6.877399353183552,6.9383007146383875,-11.518300783363115,9.356514318695156,-3.6706877346267075,4.123673657631762,-0.22637564305139835,2.6894473418514826,-3.2341977056457347,3.0700910672131063,7.319260657922195,-0.1665147935769915,-0.3307970619196097,5.282753069382422,0.26105265752395374,-0.9819428107230374,-2.5355590274533144,-4.833827493038489,3.64437128150323,1.1398502577756333,0.23280700519609007,-2.836539714576364,0.035382919735735985,-1.7052434933710652,3.7308041481371665,-1.3262445361852473,-2.5705795734589114,-0.04829813660448862,0.5479120249451904,0.4111479930282357,1.3591644491854127,0.9433212702631111,0.4146734964281421,-0.14102845093069383,0.9919266329493116,0.1959169836857549,-1.234879695176585,0.8005332146891616,-0.28940512991867096,2.222868381196171,-0.7186300023579026,2.3726134907315446,-0.26556025592257493,2.756548216315982,-0.6598676258639902,-0.8080454068701621,-1.1418150523798987
12H045,-4.013034711765623,-0.8873744251240753,-0.09197492302034398,-3.963872387961088,14.181200568936184,-9.208560223536832,8.28938851149248,1.7163275296334108,2.636635532124366,3.2344069406688196,-11.488814267804194,6.458219054613858,-0.09534295256319901,-0.19136422271084497,-1.048865600448853,5.208187607605151,-5.363764350234317,0.023446316613697005,0.41278808438793163,-1.6535948570763241,0.6179616445564198,-0.007957013195745377,1.334462372315909,-1.2701638633034498,0.35990948042060145,-0.4352821650460293,0.5536263755654298,-2.1839720067349493,1.9396906856997995,0.2280930734179006,1.7422371056369907,-2.178954182497209,1.2453404895308426,-2.1152111714839044,-0.671364608810227,-0.6400290431356791,-1.279172116708874,1.166265988321632,2.7372018368044837,1.6089902682592403,1.4357397109418264,-0.8784505458830729,-1.6829329747047586,-2.0662424795785226,-2.1075533787163394,-2.2754804825137054,-2.5429098441432605,-1.7253159965537994,-1.7389337439611614,-0.5339478826980468
12H055,-1.4360304709066118,13.24916550696086,0.36177184091958564,-1.086339084607081,-8.694743707835134,3.456615627942817,6.345670174303581,4.942442125365945,-10.654989915833173,3.7689702371679172,4.383649027110961,2.875804264205405,-1.775733715910985,-3.6683931590499874,1.062296398541388,-3.5946757999423777,-1.880098567852876,-0.6420708947608583,4.926670196561716,-3.161220718134998,1.2645921456676996,5.968072995341301,-6.043095669985785,3.2746677003917815,3.9305723110694526,-1.8878755317433014,4.105786872274675,0.772153333868101,-0.5630946274318341,-4.330450421515847,1.098226891855034,-1.1438685263034278,-2.5770931730353936,-1.2179837701190275,1.353110178500204,2.936772108030579,4.1730543798904804,-3.532239078106332,-2.735374158617022,-4.3549653372389905,-0.644923221331845,-0.2380096126928351,6.848437913834866,1.6270920246719205,4.686144516738718,6.538455672112162,5.358942468361057,3.5149360334584134,2.8457482449882274,-5.2255782924678345
12H056,-6.429020003245784,-15.562297143001267,-10.277113336558578,-1.7073759730317686,-6.63272569850459,2.2604965931374226,-2.4223337588460696,-4.044578632660426,4.7142944184622255,1.6004115720106258,-2.360706072553413,-0.49102268916389413,-0.12246471281846305,2.3017369556369722,1.1044051936098178,0.7636179019973088,-2.530554977901708,0.6540130431622144,2.1467378400902213,-5.849565261587945,0.5048243214467164,0.17603463462645041,-0.48207099539255094,0.32103943917786315,3.255016708853802,3.7931873249796615,2.0471988136637957,-2.217173618121689,-0.5827171159839759,-1.040180625867324,-2.9968691368785274,-1.196175401546955,0.829598664495744,0.5866517242180934,-1.483931163722073,-0.6512728458508489,-1.0139257538262647,2.5174075289319573,2.6195595392435043,0.49361221418717327,1.8597765039088254,0.17164750023144326,1.8708451432205622,0.654365382200396,1.1155354671494027,-0.5450595935569204,0.5569650914303852,-0.3543650464111352,3.9193640933647007,-1.3902592671700567
12H057,-6.997941528792307,-2.6935818998481778,-0.09832458636183972,1.403781009124189,0.18003626194156258,-0.7259081292076721,-3.2931457901274994,-0.7158889518439335,2.0422770559761765,0.4918508490295138,-10.813128750888275,1.5641715240084348,-4.4809938111059555,-4.467144038851139,7.066191718265774,3.4050745219578555,12.464240521587525,-5.911657494066652,-2.184192934212896,1.8304609172489235,-2.782784252229667,-2.4659396075477114,-3.41297291021556,2.3846611604371795,-7.81516637118255,0.5351523486885553,-2.067916323962744,1.8683560810015312,-1.7030246307685748,5.394140807816172,-0.6567054220629762,-1.451262374186633,-0.32710044885370637,0.5725238793485979,-4.50416755322208,-5.299894106662616,-4.346027106968474,2.0836572178695363,0.32006525023186166,-0.9572023203706219,1.1705324531160821,1.5796629978533239,0.7232708670840687,-1.0564713353997686,-1.54200107638404,-0.7108811409080231,-0.017769223056599892,4.6922231310739555,3.0444900696028463,-2.1486708194944177
12H058,-8.735252582065561,20.038869373489078,-0.8455709898072454,4.773437178925892,10.51627124034409,3.9096844026352033,-5.902226276570039,-10.131355117017046,-4.315112174977221,-2.428927722037505,-1.3661401185106512,-1.6678098353506625,-2.9058896782068553,0.8646818029322509,1.6491230299036017,-1.119415242890049,-3.2387656395469713,-2.3734003208457803,0.6632968430941284,-1.1764813418127784,-1.076298068440647,-0.5920953571892897,-3.222364433811984,3.4568776716259078,1.1840649049770544,-2.0885280653590104,3.4738240398511637,2.6576780254152785,2.705473584307416,0.6625316416546381,-3.7782348035551077,-0.5869006968047643,2.084158908949099,-0.7926534239934901,1.732265279207612,-1.3867770091728637,-0.6276080427992415,0.16495936209869086,-1.0609008483281448,-1.0826604141839766,0.02215458170623691,-1.5100377238652558,4.010190090936113,2.7543241667087384,2.7556126466959525,1.2453448228752626,-1.9406356845969297,0.7587603665864132,-1.5210875387915535,3.5078842472567406
12H067,12.797099001246567,-8.601684296113154,-15.6930847845389,-17.44533417104319,10.756903228699134,12.821363401565973,-14.699035466796428,13.586105870659596,-7.589887608040454,20.23673787489157,6.455703254381497,-0.4663464387732773,-7.603551832742401,14.673225124786185,-17.314356280565857,-10.463270384250404,-2.2097786982645635,8.467767289897633,-6.218709951425551,2.263392185296522,-4.475054603681936,-3.098025202327451,-8.479958630295753,5.041109912110979,-2.483458709736089,6.967121301469429,2.568518680610759,2.5719498436105948,-6.021792976532576,-3.997662762559189,-0.8504974061928828,-1.1500528568552846,5.878757468856916,2.3778129469991702,-4.285284155952451,-2.79637538633787,-5.75359293324802,-0.5688286158303276,-7.775073436911649,-2.007531570087954,-3.023242068629449,3.6637134364811432,-0.13063584313253362,2.9049869889901867,0.5046924343724416,-2.231922649298374,-2.126086181069999,0.08305700993994611,-0.4446581444566378,-1.274377181631101
12H079,-11.277976707188987,-21.036297197426162,3.0826378811158834,2.304101689375528,-4.055258847813393,6.919992151473287,0.2043022480354428,-1.286833938317324,-12.436186857982491,3.256801043916207,-3.448460156476483,-0.3125621761566016,14.106618906388691,3.810054073751477,-0.44034272159743887,0.11106211929289905,0.9389670680106922,1.2094746243039816,5.8079027317987,-6.583067192749793,2.9007392383396886,0.2405691514863451,-1.6817816586972882,1.3552037584641716,2.05974621753468,3.0010578886294637,1.1579327383670237,-1.6857860268824145,-3.0101785528348466,2.6017568924706693,-4.251500963231548,2.3723527189103475,-1.494075752941062,1.2203127573583292,1.5635310236106275,-0.8031858478940173,-1.3197137441682971,-0.05959236912256863,2.6419295467796364,0.11862619397390356,0.5027475655500353,2.0745890099864686,0.8928835445141748,0.5773682495237769,-0.7966093576296931,0.3329802713199375,3.6142947735684574,-1.7279559281636239,-1.3477800616450775,0.8843759888942058
12H091,-2.237742300687179,0.6331719940196616,9.705961957311427,-3.1973594717679026,-7.1585011973101755,12.086242177934906,-2.47252125297361,2.423652290512781,-3.2421465364233164,-7.737015253004743,-5.225968756203381,0.10563401057667726,6.384073025725671,3.1949927815420924,-2.25271467550854,1.0080368365074897,-0.08418386948161,-6.740624745054531,-0.5423226240105062,-0.414394203508232,-1.1400197717974085,4.097106579070933,-2.2623856321890568,2.5309521065835527,1.5113210506346595,-2.319662054864009,-4.180695526564058,0.8181820644966458,-0.38907853236613305,-5.563489238809824,2.1363620529591345,0.6578401859852709,0.009036231444432854,0.7012546207394749,1.9790274556044438,0.5719584168843603,-1.4004163634066447,-0.17862917353606628,-0.7701667408421453,1.8676909914511208,-1.370864752664387,2.841217864550388,-1.7570158292374571,-0.42038767358784157,0.1652714763231109,-1.2078538298509016,-1.6262374404373678,0.8590306595240244,-1.4344528506016652,-1.3678463492213724
12H098,1.0368617799270128,8.303513902761514,20.57929377988087,-1.6114451616886671,4.485862896485402,-4.035331636736979,9.362809129218636,-5.375108545776671,4.438914304773026,9.76670336457796,-12.497428360499018,7.937743037147623,-2.9476246514257594,2.7077169141141755,-0.9896782363456078,0.2671033733845777,-4.089501554914379,-7.105861363398025,-2.679763230085862,-0.7608092954132429,-2.3685028169821982,0.8100349692967413,1.4036450784805357,1.5580453509283256,2.131547205872244,1.2992849163577425,0.12056623468893035,-0.4152831711145117,-0.6396953372178962,-2.8782304492229778,0.4167960958426693,-0.32753496350085964,2.7421905473918304,-1.6251116181874634,2.0250022432321355,-0.76826340417477,-1.3932284196826492,0.5256541371486269,-1.0051226948169356,-0.8778139818896387,0.7684263210780202,1.0083150894518498,-1.6065237784165498,-1.4671598645822486,-2.6736816556045495,-0.38342065893445276,-0.1057259982824808,-1.258452744509403,-0.042269047454779385,-0.3708346997371431
12H117,7.587947259657489,-2.994885108874141,-12.46425732368651,-15.879389681385454,12.323958011193566,13.362499530792459,-16.498673897503814,10.090912215989178,-8.596740491274545,18.766694788319054,3.661064724378506,-3.3136786474364026,-3.8728706215120794,12.540806984081023,-16.769748065209615,-9.72693336855889,-0.3809360275693108,11.632651105456901,-6.579119644210868,3.03772775451684,-5.156010850084376,2.2793769941038797,-6.092778641359348,5.9403667810833625,0.030975366446682973,1.9123852282989446,1.9126566375918925,2.6914292944233664,-4.008036032932356,-2.7221169466016053,2.0234904883300286,2.5040817868742655,5.108862346391518,0.5591331570879493,-0.5804462060091284,-5.010292043645713,-4.725128449538893,2.6198224115662474,-4.5468963454553055,-0.7449338832381303,-2.546907309040211,1.2807441569289397,1.0501540639415454,3.91332806715714,-1.7022427323663853,-1.9022243282538516,-1.527604149991571,0.42320101321513925,-1.2294061927052429,2.2198835955223517
12H124,-8.45894826938062,13.378545051799634,-10.94308435009746,4.2168597430798425,-3.777166431976454,4.078318373879057,-3.322165019980097,-0.8299266266434862,-1.2255559765721715,-3.7780996572111523,-4.448627981044651,1.1839549390440776,-0.7465913890308786,-0.9883176059881491,-0.4216399791072727,0.8397818537762368,0.14699032967581704,1.951836431776174,-0.5293962723098209,0.26159270738708684,0.7891512433444732,2.0709989869619982,0.9340437508801004,-0.2974545732141601,-1.6291902963292275,-1.77296510609901,-2.499689902082894,-2.016418777845845,-3.517660396455582,-1.7060116744214342,1.3778456555015846,-1.213024583364911,0.09761165801436383,-0.762440514807817,-0.7692327747591987,2.644385025827736,1.7546782728407977,-0.24141548219622558,0.8370872189972831,1.7020578630141947,3.6146494774905715,1.468495814764667,0.7236250211585016,-2.02396491776859,-0.21888569750882123,2.1860592397453003,0.44365294536953676,0.23926838063496225,-3.273722291078558,-0.06469466729964116
12H139,-6.236453063707175,-4.918023007812205,1.3488308312250494,-9.24357095939352,-1.4206277912821923,5.592590203948191,13.760950041155409,-10.566003015931486,1.9924517351176325,3.9819289772705084,7.802775409992665,-5.165703824957548,-2.5035700972860804,2.444474747838536,1.6684807081633029,-2.472965122007345,0.13141064296989657,2.5446947874731736,1.1446934520214298,1.334906013154412,5.502803662780886,5.555731138895488,-1.6292907031246704,-1.7937331818264448,0.11884976318481155,-4.893335853753224,-5.552181456288139,-1.3073807901525827,5.667448573115686,0.1319678929473812,0.24842686292036528,-1.4331046999930825,0.7152295773974019,-2.212062898075427,2.1463462941261704,-1.444187815792898,-0.4811733354254851,-1.756309135617029,-1.4768397646698863,-1.8515401152007431,-0.9567723959117767,3.6136548044913637,-0.5920130625251433,-0.24591998694819617,0.11240798854780906,2.4156679069379035,-1.9473995072628607,0.6508793750173523,0.09433903940051613,0.27836165256282946
12H149,1.5940802800715927,-11.106402442557583,-1.4681552954679007,0.398564604612732,5.873661046971895,-11.697032238195439,-2.3743695360590715,7.958614431402977,-6.184144434086493,-4.486728953061406,10.58550538863841,3.4030479204345236,0.9603836966643943,-6.902567033826207,2.2064396496031877,-4.262002190427772,-4.283257351485551,-0.5331414971775778,-1.830891984987486,0.11879422330140205,-1.6264780459180121,4.80334697510305,-1.1329262513425733,0.1418176384829819,-0.561716377320159,2.668674586531825,-2.7990416901882473,-1.0242095420704818,-2.654002668001821,-1.6324866502196467,-2.659723059961891,4.628624832895434,-4.934256391064674,3.171264082191778,-0.789531077560423,-3.4544185270524066,-0.578822569549512,1.0284016476663194,-0.7803517437947997,5.890373111005271,-4.353905045103939,-1.4026897555442892,-1.5639353656792387,-1.1585085130953854,2.1598290438191188,1.4384060095282747,-0.282426170621841,4.396417410635227,2.105496644510548,1.432460092953066
12H165,-3.9597659773631064,-1.3273831923586217,4.819840592068232,1.1301561643705422,4.128824979397114,-10.226449275057718,9.391954671676931,4.611168770733947,6.641824289813062,-2.1580866046901175,5.847611200926693,-3.3948403022258633,1.0508209348366901,9.180373708111684,-0.0618037391273276,-2.5321824100855053,5.673383091932472,-1.149650797560322,2.272197935216784,-5.077311725379795,-4.5012619794224,0.18713870386346287,-0.934880129785303,1.7425372270361759,0.2711289203364603,1.6604020441910727,1.4017687954819076,2.027148972837687,0.3614172949154832,1.0019787913041456,0.2982387705276562,0.6894753696511917,-1.4911267900510992,1.5731199053337788,-2.886975904171508,0.2504253443490972,0.3941285727932394,0.4707858318895713,0.2249243319199553,-0.7934016070706766,3.3484983793493743,0.7513982066872968,2.0740280938536695,-2.157484229153228,0.2858739898298662,-0.07257466574739266,0.6516028401993872,-0.3431735869842803,-1.4042139717264037,1.3356514571478075
12H166,1.3856439118611548,8.287030552196775,14.578552464500572,-1.1474392679159384,6.855467687581967,-5.8439836437232415,10.043389406336203,-6.087368110524123,2.2523088956583,6.791658893422458,-14.25894008532053,10.068720346981443,-0.48523457255348906,-0.6996693320162615,1.538397769461611,-0.34653507203679246,-3.7858155242301015,-3.9949581287847233,-2.5597515966194893,-0.8626287733315903,-3.77376640206514,5.091512890103822,-2.707090363378959,2.886587811680485,-1.2561177201510032,-2.1190030549239594,-0.3391377499504526,3.2590824486477046,-1.015423927926873,-0.801836027492943,0.7295057546991093,1.2333187726829937,0.12644831762491504,-0.04279724501902932,2.681618089631883,-0.2856446998925697,-1.968105013425614,0.1298287057938875,-1.9554187019899747,-0.3282265292267071,0.15069107166169887,0.6168761103652797,-0.06041755329076526,-1.6543830004272422,-0.5274604272446923,2.1213731892837555,0.05772996568330968,-0.9153548078603843,1.5714878610170273,0.5134333880372483
12H170,45.62638270672325,5.007843148774657,13.766106517913613,-15.534728410713253,2.840328016369251,-2.5881942599849936,-14.817294800125854,1.0429716043757553,1.1351047322611494,5.211178203011977,4.692300054228886,1.2305438923255958,4.247186206240001,-0.8583059492712364,-3.6362548409581015,-0.7734970793101525,2.145749482032916,0.20423189282727378,-2.795436277894424,0.958683699523932,-1.696075683518981,4.0351747524021135,-2.0029780709253897,-2.358850124586819,-1.6678681724670583,-3.854013694524679,-0.9902909242764855,-1.2551427133308863,2.3569760862880447,1.7418625419811509,-1.9353383947754466,1.655704365301169,-2.649524087798812,-0.40302483443904114,-0.3980103221725143,2.5496889833781977,1.5502348204170804,0.7394162171413652,5.235170753808048,-1.0053527244988687,2.5414339384104467,-3.865329368166031,-0.6364381466393176,0.6210043047160052,-2.0751866022954544,0.544277342355623,-1.1695714784081128,-0.16690381720226571,4.043156246680436,0.022124168175220615
