,TMEM50A,DPEP2,TMEM107,GGH,ALG9_IT1,AC068790.3,BX470111.1,AC011389.1,ACVR1C,CDY14P,TNPO3,RPS27AP10,AC008728.1,AC068790.9,PLPP1,AC006205.1,AC106785.1,ZNF70,ELF2P3,SIN3A,DDTP1,NUDT15,TIGD3,AC007450.3,MTND4P29,AC099654.1,AL356299.2,C19orf18,RNU6_1157P,GPS2P2,MIR548AA1,AC109458.2,AC135166.1,APLP2,AC138907.2,AC022182.1,AC084876.2,U2,AP000428.1,DBIL5P,RNU6_431P,AC053513.1,USP12_AS1,MPHOSPH10,AC024580.2,GOLGA6L16P,AC090502.2,AC145625.2,ZNF442,CHRM3_AS2
02H053,0.0,0.0,0.07188200730612536,0.24551266781414982,1.4972061807039545,0.0,0.06445798922691845,0.021189299069938092,0.0,0.0,0.0,0.0,0.029383777685209667,2.203060097595961,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.04921802267018165,0.0,0.0,0.0,0.0,0.02530586526477026,0.0,0.0,0.29885307640970665,0.4638929889859073,1.2263420871636308,0.3729120029701066,0.0,0.9390197764486665,2.1208041778407973,0.008600171761917567,1.1772478362556233,0.0,0.004321373782642578,1.0170333392987803,0.0,0.0,0.004321373782642578,0.05307844348341968,0.0,0.0,0.0,1.9716468820643067,0.0,1.3463529744506386
02H066,0.0,0.0,0.13353890837021748,0.26481782300953643,1.2335037603411345,0.0,0.04921802267018165,0.1553360374650618,0.04139268515822507,0.0,0.0,0.0,0.04532297878665747,2.697760984358826,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.01703333929878037,0.0,0.0,0.0,0.0,0.07918124604762482,0.0,0.0,0.3344537511509309,0.4132997640812518,1.216165902285993,0.41995574848975786,0.0,1.137670537236755,1.7626785637274363,0.008600171761917567,1.1784013415337553,0.0,0.0,1.2372923375674587,0.0,0.0,0.004321373782642578,0.26481782300953643,0.0,0.0,0.0,1.8842287696326039,0.0,1.3579348470004537
03H016,0.0,0.008600171761917567,0.12710479836480765,0.4014005407815441,1.548020694905531,0.0,0.06445798922691845,0.10037054511756291,0.0,0.0,0.0,0.0,0.03742649794062367,2.7212828782515457,0.0,0.0,0.0,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04139268515822507,0.0,0.0,0.9299295600845878,0.1643528557844371,1.3662361237182932,0.3283796034387377,0.0,1.5312233745330268,2.226831810658721,0.012837224705172217,1.064083435963596,0.0,0.0,1.3982873053574012,0.6946051989335688,0.0,0.0,0.19589965240923368,0.0,0.021189299069938092,0.0,2.0150662140111493,0.012837224705172217,1.3771240423464561
03H022,0.0,0.008600171761917567,0.3820170425748684,0.26007138798507473,1.9793206973820243,0.0,0.1553360374650618,0.23552844690754893,0.0,0.0,0.0,0.0,0.10380372095595687,3.3008062763931427,0.0,0.01703333929878037,0.0,0.0,0.0,0.0,0.05307844348341968,0.0,0.0,0.0,0.0,0.1931245983544616,0.0,0.0,1.137670537236755,0.37657695705651195,1.71121652432109,0.4345689040341987,0.0,1.708675792726537,2.166755638665238,0.008600171761917567,0.9818186071706636,0.0,0.0,1.5817221599490987,0.0,0.0,0.0,0.3283796034387377,0.0,0.0,0.0,2.018450832386356,0.03342375548694973,1.6009728956867482
03H024,0.0,0.0,0.22010808804005513,0.23552844690754893,1.631443769013172,0.0,0.1903316981702915,0.05307844348341968,0.0,0.0,0.0,0.0,0.03742649794062367,4.2349397305398995,0.0,0.0,0.0,0.0,0.0,0.0,0.37839790094813763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3656751404559178,0.3344537511509309,1.284881714655453,0.34635297445063856,0.0,1.0378247505883418,2.092510111683982,0.01703333929878037,1.2695129442179163,0.0,0.0,0.9556877503135057,0.0,0.0,0.0,0.3222192947339193,0.0,0.0,0.021189299069938092,2.0384611961785635,0.0,1.5212688755983852
03H028,0.0,0.02530586526477026,0.04532297878665747,0.19589965240923368,1.424881636631067,0.0,0.0,0.11727129565576427,0.0,0.0,0.0,0.0,0.029383777685209667,4.484534722013804,0.0,0.0,0.0,0.0,0.0,0.0,0.04532297878665747,0.0,0.0,0.0,0.0,0.008600171761917567,0.0,0.021189299069938092,0.7520484478194386,0.34635297445063856,1.3380578754197563,0.30749603791321295,0.0,1.0094508957986938,1.041392685158225,0.008600171761917567,1.6259294927162946,0.0,0.008600171761917567,1.1335389083702174,0.0,0.0,0.03342375548694973,0.08278537031645007,0.0,0.021189299069938092,0.0,2.219663100737022,0.0,1.6292056571023037
03H033,0.0,0.22271647114758328,0.21748394421390624,0.28103336724772754,1.187520720836463,0.004321373782642578,0.3010299956639812,0.029383777685209667,0.0,0.0,0.0,0.021189299069938092,0.07918124604762482,2.6843605477098165,0.0,0.0,0.0,0.012837224705172217,0.008600171761917567,0.0,0.029383777685209667,0.0,0.09691001300805642,0.01703333929878037,0.012837224705172217,0.04532297878665747,0.0,0.0,0.6222140229662952,0.35602585719312274,1.209515014542631,0.5599066250361124,0.021189299069938092,0.983175072037813,1.714664992862537,0.03342375548694973,1.0565237240791003,0.0,0.0,1.2198463860243607,0.0,0.03342375548694973,0.0,0.23804610312879543,0.0,0.10720996964786837,0.0,1.7620029693751154,0.0,1.2860071220794747
03H036,0.0,0.0,0.31386722036915343,0.4409090820652177,1.7905666251460766,0.0,0.0,0.421603926869831,0.0,0.0,0.0,0.0,0.029383777685209667,3.334938041077081,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.37474834601010387,0.0,0.0,0.0,0.0,0.05307844348341968,0.0,0.0,1.2370407913791908,0.7759743311293691,1.347720217034038,0.9164539485499251,0.0,1.438384107034714,1.9108910886445283,0.01703333929878037,0.9324737646771531,0.0,0.0,1.3070679506612983,0.0,0.008600171761917567,0.012837224705172217,0.6483600109809317,0.0,0.0,0.0,2.0172420845476458,0.021189299069938092,1.4366396316926606
03H041,0.0,0.0,0.1553360374650618,0.2576785748691845,1.7331972651065695,0.0,0.0,0.02530586526477026,0.0,0.0,0.0,0.0,0.012837224705172217,3.2637922445134975,0.0,0.0,0.0,0.0,0.0,0.0,0.056904851336472634,0.0,0.0,0.0,0.0,0.07188200730612536,0.021189299069938092,0.0,0.8363241157067517,0.2671717284030138,1.4122925093230465,0.36548798489089973,0.0,1.176958980586908,2.014604533436051,0.01703333929878037,1.2685779718828432,0.01703333929878037,0.05307844348341968,1.305566313515304,0.0,0.0,0.008600171761917567,0.6232492903979004,0.0,0.04532297878665747,0.0,1.8696423446515946,0.0,1.3322364154914432
03H052,0.0,0.0,0.04532297878665747,0.3443922736851107,1.6885977750811698,0.0,0.08635983067474821,0.04532297878665747,0.0,0.0,0.0,0.0,0.021189299069938092,3.379135030507477,0.008600171761917567,0.0,0.0,0.004321373782642578,0.008600171761917567,0.0,0.012837224705172217,0.0,0.0,0.0,0.012837224705172217,0.0,0.0,0.0,1.351216345339342,0.22530928172586287,1.2412973871099933,0.3010299956639812,0.0,1.1287222843384268,2.1206397284155662,0.008600171761917567,1.1766699326681496,0.004321373782642578,0.0,1.2855573090077739,0.0,0.0,0.0,0.5477747053878226,0.0,0.0,0.0,1.9696022648485392,0.008600171761917567,1.589055531052344
