,AC004080.13,AC026992.1,AP000777.2,AC007319.1,DNAJC8P1,MIR1244_3,PGA4,SRP14,AC093575.1,ASCL3,RNU6_377P,MAGOH,RPL36AP26,RN7SL254P,CCDC33,AC012308.1,RPL36P19,AL121583.1,AL358394.2,AL627230.2,AC099788.1,AC006455.4,CCNB1,C6orf120,AC023245.1,FJX1,AC087289.3,HIST1H4B,RN7SL356P,RN7SL638P,TNFSF10,OR2C3,AC005921.1,ZNF718,IGKV2OR2_7D,CENPM,TSPY15P,RN7SL192P,RN7SL331P,ENO1_AS1,AC010468.1,ALG9,AC140076.1,WSCD1,RN7SKP211,GLYATL1P2,S1PR1,AP006248.2,ACSM5,AL445363.2
02H053,0.0,0.0,1.5526682161121932,0.056904851336472634,0.5976951859255123,0.008600171761917567,0.0,0.0,0.0,0.0,0.08635983067474821,0.0,0.12710479836480765,0.0,0.0,0.06818586174616162,1.453624073591451,0.5037906830571811,0.46686762035410945,0.0,0.004321373782642578,0.056904851336472634,1.269746373130767,0.02530586526477026,0.26007138798507473,1.597804842404293,1.8057047044338643,0.0,0.0,0.0,0.004321373782642578,0.3384564936046048,0.021189299069938092,0.8864907251724818,2.4863737972461695,0.0,0.5538830266438743,0.0,0.0,0.01703333929878037,0.47856649559384334,0.008600171761917567,0.0,0.0,0.004321373782642578,1.7209031708134575,0.0,0.0,0.0,0.0
02H066,0.0,0.0,1.594613509160098,0.08278537031645007,0.18184358794477254,0.029383777685209667,0.02530586526477026,0.0,0.0,0.0,0.08990511143939793,0.004321373782642578,0.0,0.0,0.0,0.10380372095595687,1.4089180208467798,0.7355988996981799,0.4099331233312946,0.0,0.0,0.10380372095595687,1.758684849882441,0.04139268515822507,0.20411998265592482,1.6812412373755872,2.1004739362576546,0.0,0.004321373782642578,0.0,0.01703333929878037,1.2595938788859486,0.0,0.9628426812012424,2.2075266554633344,0.0,0.8463371121298052,0.008600171761917567,0.0,0.0,0.5514499979728752,0.0,0.0,0.0,0.04532297878665747,1.9043909200123617,0.0,0.0,0.0,0.0
03H016,0.0,0.004321373782642578,1.6062738531699883,0.04139268515822507,0.22271647114758328,0.01703333929878037,0.0,0.0,0.0,0.0,0.10037054511756291,0.0,0.10037054511756291,0.0,0.0,0.01703333929878037,1.3161800988934527,1.0025979807199086,0.3384564936046048,0.0,0.0,0.19865708695442263,1.7471786713601645,0.09691001300805642,0.2966651902615311,2.1955952630055253,1.9554472105776954,0.004321373782642578,0.0,0.0,0.008600171761917567,0.7201593034059569,0.20139712432045143,1.0111473607757975,2.3848370882036845,0.0,0.7193312869837267,0.0,0.0,0.03342375548694973,0.8481891169913987,0.0,0.008600171761917567,0.0,0.029383777685209667,1.9970367108825267,0.0,0.0,0.0,0.0
03H022,0.0,0.0,1.7580788222496126,0.05307844348341968,0.19865708695442263,0.03342375548694973,0.0,0.0,0.0,0.0,0.08990511143939793,0.0,0.0,0.0,0.0,0.04532297878665747,1.4828735836087537,1.052693941924968,0.6473829701146198,0.0,0.0,0.1643528557844371,1.746478509930031,0.11058971029924897,0.5250448070368452,1.896029912396227,1.6713580034434916,0.0,0.0,0.0,0.021189299069938092,0.3222192947339193,0.22010808804005513,1.4356851379416298,3.1343205732440635,0.0,0.48000694295715063,0.0,0.0,0.008600171761917567,0.6739419986340879,0.0,0.0,0.0,0.0,1.6999244027424767,0.0,0.0,0.0,0.0
03H024,0.0,0.0,1.3879234669734366,0.34635297445063856,0.37839790094813763,0.012837224705172217,0.01703333929878037,0.0,0.0,0.0,0.04921802267018165,0.0,0.029383777685209667,0.0,0.0,0.10720996964786837,1.2195845262142546,0.6901960800285137,0.7965743332104297,0.0,0.0,0.11727129565576427,1.7089305358066162,0.04921802267018165,0.10037054511756291,1.7135745377720697,1.916611845109346,0.0,0.0,0.0,0.09342168516223506,0.11727129565576427,0.13353890837021748,0.7881683711411677,2.723562385355726,0.0,0.46686762035410945,0.012837224705172217,0.0,0.0,0.36361197989214433,0.0,0.0,0.029383777685209667,0.029383777685209667,1.7975445143617264,0.0,0.008600171761917567,0.0,0.0
03H028,0.0,0.0,1.5093369580176441,0.02530586526477026,0.04532297878665747,0.008600171761917567,0.0,0.0,0.0,0.0,0.004321373782642578,0.0,0.012837224705172217,0.0,0.0,0.04921802267018165,1.1486026548060935,0.948412965778601,0.7015679850559274,0.0,0.0,0.2741578492636798,2.427843005705534,0.0,0.056904851336472634,1.9049318273956526,1.490099005063305,0.0,0.0,0.04921802267018165,0.004321373782642578,2.2763009245707733,0.029383777685209667,0.9122220565324155,2.4965975763237087,0.0,0.35793484700045386,0.0,0.0,0.008600171761917567,0.359835482339888,0.008600171761917567,0.0,0.0,0.01703333929878037,1.7890163267933747,0.0,0.0,0.0,0.0
03H033,0.02530586526477026,0.004321373782642578,1.4915017662373264,0.13353890837021748,0.056904851336472634,0.021189299069938092,0.0,0.021189299069938092,0.0,0.0,0.05307844348341968,0.012837224705172217,0.0,0.008600171761917567,0.021189299069938092,0.11058971029924897,1.3774883833761327,0.7986506454452689,0.38021124171160603,0.008600171761917567,0.008600171761917567,0.11727129565576427,2.0532705666813786,0.056904851336472634,0.19589965240923368,1.8406078790092901,2.307367656038532,0.004321373782642578,0.008600171761917567,0.0,0.012837224705172217,0.36172783601759284,0.21748394421390624,0.948412965778601,2.6629654880851277,0.0,0.8488047010518037,0.029383777685209667,0.0,0.0,0.639486489268586,0.0,0.0,0.0,0.02530586526477026,1.8818979735730113,0.0,0.0,0.012837224705172217,0.0
03H036,0.0,0.0,1.5490032620257879,0.01703333929878037,0.07918124604762482,0.03742649794062367,0.02530586526477026,0.0,0.0,0.0,0.07188200730612536,0.0,0.146128035678238,0.0,0.0,0.04921802267018165,1.5639554649958127,1.1149444157125847,0.6009728956867483,0.0,0.0,0.056904851336472634,1.857633985150008,0.02530586526477026,0.359835482339888,1.7704101315139062,2.102262149494273,0.0,0.0,0.0,0.02530586526477026,0.3820170425748684,0.4409090820652177,1.473194909204938,2.502700175310563,0.0,1.0220157398177203,0.0,0.0,0.008600171761917567,0.7803173121401513,0.0,0.0,0.0,0.08278537031645007,1.953952883231923,0.0,0.0,0.0,0.0
03H041,0.0,0.0,1.7604978752265268,0.012837224705172217,0.056904851336472634,0.01703333929878037,0.0,0.0,0.0,0.0,0.06445798922691845,0.0,0.0,0.0,0.0,0.08990511143939793,1.3402457615679317,0.9385197251764918,0.3384564936046048,0.0,0.0,0.21748394421390624,1.8291107101552946,0.0,0.13987908640123647,1.7617023675414127,1.9741891911181673,0.0,0.0,0.0,0.01703333929878037,0.01703333929878037,0.15836249209524964,0.9703468762300933,2.3047704885232587,0.0,0.436162647040756,0.0,0.0,0.0,0.6646419755561255,0.0,0.0,0.0,0.03742649794062367,1.931356150467928,0.0,0.0,0.0,0.0
03H052,0.0,0.0,1.6032526619816467,0.02530586526477026,0.1367205671564068,0.01703333929878037,0.0,0.0,0.0,0.004321373782642578,0.03742649794062367,0.004321373782642578,0.06069784035361165,0.0,0.0,0.012837224705172217,1.3430144971507676,0.9268567089496923,0.1553360374650618,0.004321373782642578,0.008600171761917567,0.06445798922691845,1.4511721575125398,0.07188200730612536,0.14921911265537988,1.8558824300360357,1.8940944273226987,0.004321373782642578,0.0,0.0,0.01703333929878037,0.7693773260761385,0.07188200730612536,0.7226339225338123,2.386659455414194,0.0,0.48572142648158,0.0,0.0,0.008600171761917567,0.6493348587121419,0.0,0.0,0.0,0.01703333929878037,1.9172428579074663,0.0,0.004321373782642578,0.0,0.0
