,DNMT3B,CPXM1,LAPTM4B,CDK6,DPYSL3,SOCS2,ARHGAP22,ZBTB46,EMP1,MMRN1,CD34,AKR1C3,NYNRIN,SMIM24,ADGRG1,Z99755.1
06H099,1.0386201619497029,2.087674960036757,1.3741982579290828,1.7137424784090824,1.012415374762433,1.2819419334408249,1.1682027468426308,0.7151673578484579,2.044029909946466,0.4099331233312946,1.5719416350744624,1.3932241163612973,0.9268567089496923,2.194930399217724,1.476976465759527,0.0
06H103,0.6095944092252201,1.507855871695831,0.47856649559384334,1.3360592778663494,1.562768543016519,0.22271647114758328,0.7641761323903307,0.6211762817750351,1.960280464436642,0.01703333929878037,0.07554696139253074,1.086003705618382,0.2764618041732442,2.062281069972644,0.877371345869774,0.0
06H106,1.215373152783422,1.9885143658336661,0.989894563718773,1.650598898172657,0.8463371121298052,0.5024271199844327,1.1386184338994925,0.7323937598229685,1.4782778319196046,0.8228216453031046,1.9226735678585543,1.7483431044875495,0.8488047010518037,2.315403504634351,1.2711443179490782,0.0
06H115,0.3344537511509309,1.8930956660962284,1.153814864344529,1.7139103541289553,1.5308397786165204,1.2402995820027125,0.9708116108725178,0.5658478186735176,2.3654879848909,1.2713768718940746,2.329174063417513,1.5708930362183922,0.367355921026019,2.1868151244474543,0.8668778143374989,0.0
06H117,0.8549130223078556,1.51627088272934,0.904715545278681,1.5793262037552551,0.7331972651065695,2.357858648301793,0.9375178920173467,0.7218106152125465,1.982361701633147,2.1406023080203322,1.2299376859079338,1.0704073217401198,0.846955325019824,1.679246145413859,0.8825245379548805,0.0
06H133,0.7803173121401513,1.8058405488146727,1.4680517914542377,2.0455185628844927,0.16136800223497488,2.8385090750322592,0.30749603791321295,0.7867514221455612,1.331427296520743,1.5519376953648372,2.5283895735900477,1.9669860251179379,0.7767011839884108,1.83916368291465,1.7782236267660965,0.0
06H144,0.8543060418010806,1.9095025414054154,0.4899584794248346,1.999130541287371,1.5798978696031039,0.5352941200427705,0.8656960599160706,0.9661417327390326,2.306189050400426,0.17609125905568124,0.16731733474817606,1.3059958827708047,0.3010299956639812,2.0979510709941502,0.7881683711411677,0.03342375548694973
06H146,0.8221680793680175,1.6405808064896525,1.0881360887005513,1.6670792054642167,0.7160033436347992,2.190835747532067,0.37839790094813763,0.9454685851318197,1.7544247892772586,0.8175653695597808,1.3896975482063858,1.5477747053878226,0.30749603791321295,1.3581252852766486,1.04883008652835,0.0
06H151,0.34044411484011833,1.9830847727377885,1.018284308426531,1.858115932190066,1.0927206446840991,1.0718820073061255,1.0170333392987803,0.3010299956639812,2.4694685478507536,1.266936911159173,2.526791432018821,1.6815125866389622,0.44404479591807633,2.390758528738717,0.7737864449811935,0.0
07H003,0.6434526764861874,1.2884728005997825,0.6646419755561255,1.404491617758686,0.03742649794062367,1.4862887609605664,0.5078558716958309,0.5502283530550941,1.318897714627487,1.04766419460156,0.41161970596323016,0.7958800173440752,0.7160033436347992,1.3602146132953523,0.8325089127062363,0.0
07H005,1.561101383649056,2.156851901070011,2.3041241527329093,2.0835026198302673,1.0644579892269186,1.839037873388306,1.5102768444173549,1.0406023401140732,1.8228216453031045,1.4192947217534606,1.3872118003137306,2.1249278791105333,1.366982975977851,1.9578944872128985,2.213862930386819,0.0
07H009,0.5105450102066121,1.3304137733491908,0.6009728956867483,1.4106085425683679,0.18752072083646307,0.5987905067631151,1.080987046910887,0.28103336724772754,2.107345665472095,0.5118833609788744,0.04921802267018165,0.9263424466256551,0.20139712432045143,1.0584260244570054,0.534026106056135,0.0
07H019,0.850033257689769,1.5806969397124366,0.7234556720351858,1.5055569386638217,0.2671717284030138,0.7395723444500919,0.6464037262230695,0.4548448600085102,1.1448854182871424,0.7075701760979364,0.10037054511756291,1.519171463821659,0.6785183790401139,1.6714505542124947,0.7218106152125465,0.0
