,AL356310.1,FER1L6_AS2,ACTG1P23,AL136985.1,DOK1,IGKV1_16,OTX2,AC012507.2,RPL9P33,NCKAP1L,FRMD3,SNX18P27,UBXN7_AS1,SMKR1,MED15,CD200R1,AP001476.2
09H098,0.06445798922691845,0.06069784035361165,0.0,0.32428245529769273,0.0,0.0,0.004321373782642578,0.0,0.1931245983544616,0.49968708261840383,0.0,0.16136800223497488,0.008600171761917567,0.14921911265537988,0.4742162640762552,0.9122220565324155,0.029383777685209667
09H111,0.11394335230683678,0.03342375548694973,0.0,0.2671717284030138,0.0,0.0,0.008600171761917567,0.0,0.23804610312879543,0.5440680443502757,0.0,0.06069784035361165,0.0,0.2787536009528289,0.7299742856995556,0.5538830266438743,0.01703333929878037
09H113,0.5289167002776547,0.0,0.08635983067474821,0.10037054511756291,0.0,0.0,0.012837224705172217,0.0,0.8095597146352678,0.8061799739838872,0.0,0.146128035678238,0.012837224705172217,0.0,0.7143297597452329,0.004321373782642578,0.01703333929878037
09H115,0.37657695705651195,0.056904851336472634,0.008600171761917567,0.17609125905568124,0.029383777685209667,0.0,0.004321373782642578,0.0,0.46686762035410945,1.1595671932336202,0.0,0.12710479836480765,0.02530586526477026,0.008600171761917567,0.5888317255942073,0.012837224705172217,0.436162647040756
09H119,0.12385164096708583,0.0,0.012837224705172217,0.20139712432045143,0.0,0.0,0.008600171761917567,0.0,0.3926969532596657,0.9020028913507294,0.0,0.1367205671564068,0.008600171761917567,0.021189299069938092,0.7664128471123994,0.46089784275654777,0.008600171761917567
10H001,0.14921911265537988,0.01703333929878037,0.0,0.11058971029924897,0.0,0.0,0.0,0.0,0.5010592622177514,0.7209857441537391,0.0,0.11394335230683678,0.0,0.0,0.5843312243675307,0.04921802267018165,0.04921802267018165
10H007,0.26007138798507473,0.008600171761917567,0.004321373782642578,0.2764618041732442,0.08278537031645007,0.0,0.012837224705172217,0.0,0.3729120029701066,0.6785183790401139,0.0,0.11058971029924897,0.008600171761917567,0.1846914308175988,0.6803355134145632,0.4638929889859073,0.01703333929878037
10H008,0.17026171539495738,0.008600171761917567,0.004321373782642578,0.3729120029701066,0.0,0.0,0.004321373782642578,0.0,0.36361197989214433,0.8020892578817327,0.0,0.08278537031645007,0.02530586526477026,0.0,0.5550944485783191,0.04139268515822507,0.0
10H017,0.06445798922691845,0.0,0.008600171761917567,0.16731733474817606,0.0,0.0,0.012837224705172217,0.0,0.21218760440395779,0.9552065375419417,0.0,0.07188200730612536,0.008600171761917567,0.10720996964786837,0.8530895298518655,0.2764618041732442,0.05307844348341968
10H022,0.28555730900777376,0.029383777685209667,0.0,0.37657695705651195,0.0,0.0,0.0,0.0,0.19589965240923368,0.568201724066995,0.0,0.08635983067474821,0.0,0.2764618041732442,0.36361197989214433,0.46982201597816303,0.0
10H023,0.09342168516223506,0.0,0.004321373782642578,0.146128035678238,0.0,0.0,0.0,0.0,0.48144262850230496,1.0257153839013406,0.0,0.04139268515822507,0.008600171761917567,0.012837224705172217,0.8325089127062363,0.06445798922691845,0.008600171761917567
10H026,0.367355921026019,0.008600171761917567,0.0,0.3926969532596657,0.021189299069938092,0.0,0.0,0.0,0.3222192947339193,0.5538830266438743,0.0,0.08635983067474821,0.0,0.12710479836480765,0.6454222693490919,0.02530586526477026,0.0
10H030,0.06069784035361165,0.021189299069938092,0.0,0.42488163663106704,0.029383777685209667,0.0,0.008600171761917567,0.0,0.403120521175818,0.725094521081469,0.0,0.07918124604762482,0.0,0.04139268515822507,0.651278013998144,0.8055008581584001,0.012837224705172217
10H031,0.1367205671564068,0.0,0.0,0.41995574848975786,0.0,0.0,0.008600171761917567,0.012837224705172217,0.16731733474817606,0.414973347970818,0.0,0.11058971029924897,0.0,0.7715874808812554,0.7168377232995244,0.07554696139253074,0.0
10H038,0.30319605742048883,0.0,0.012837224705172217,0.08635983067474821,0.0,0.0,0.01703333929878037,0.0,0.5132176000679389,0.7193312869837267,0.0,0.2576785748691845,0.0,0.10720996964786837,0.6404814369704218,0.2148438480476979,0.4593924877592308
10H040,0.056904851336472634,0.07188200730612536,0.0,0.30749603791321295,0.021189299069938092,0.0,0.0,0.0,0.414973347970818,0.8135809885681919,0.0,0.08635983067474821,0.0,0.008600171761917567,0.7881683711411677,0.02530586526477026,0.0
10H046,0.23299611039215382,0.04921802267018165,0.0,0.20951501454263097,0.0,0.0,0.004321373782642578,0.0,0.40483371661993806,0.6739419986340879,0.0,0.11394335230683678,0.0,0.287801729930226,0.7315887651867387,1.00774777800074,0.008600171761917567
