,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
03H016,0.8874070524850614,24.599797765076474,-3.0726993133127047,0.4521099120472766,-9.914992213709713,-0.811898398012495,-1.5082726936449755,0.46547854097310953,3.364179458881021,-0.502651351341509,1.0238728369564956,-2.2206400373355235,1.4044329590604836,-5.759416860674043,-1.8465123976389153,5.533006433345763,-2.6904922453137345
03H022,-3.3452547298724458,16.808930948827076,-5.969830548896899,3.965432471392534,10.001485283974917,4.500495643163516,-5.755837002198912,-1.231602566706397,1.1800346101894499,-4.672467286957165,1.2682181680994953,-7.898449593031823,-2.2992752443528164,-0.13830380964139294,1.7199099348979303,0.19964639164379722,-6.99863471499599
03H024,11.664585932097422,-0.1322795128031613,-8.822222444909247,-4.539978036160635,9.895753607964041,3.757188346599881,-5.119744176633073,2.420318040290972,5.672049235062659,-3.27492373345639,2.4629220265692293,4.454242123932744,8.54953667802399,-4.659799683941583,9.59260832913206,1.3529749757922784,-1.7350987249673806
03H028,15.418535584265777,-0.8393915782736356,-16.12108867615677,-22.249656834003744,10.12939465421642,0.6639346775003113,-13.48055649815078,9.552950796587304,0.7896082912309503,16.997765927502233,3.276456993575821,-9.490017454057297,4.187787813810673,-0.2584788844184048,-5.352949786439928,2.1263260936137365,-1.626760629742868
03H033,9.04191336212654,-3.4218501556617156,-12.135416347619701,-5.673201551406949,-9.379100541156134,-11.991732112746906,-3.245570780267415,-1.4962635208028816,13.067840167478526,2.1346234466400364,4.01818735537666,-4.358452788617539,5.183573801335998,-6.849557299315521,2.2515476727964816,3.8592165416856816,-1.9070278243846563
03H036,-4.83401600093091,-5.780244008373433,-6.262754575495096,11.588629072512678,11.718269771347968,3.5984665825743534,-0.5193903475614212,4.7157194629730315,0.465284474956439,-6.226225667750399,1.4032211669922598,-0.2792917547448851,-1.5037800557407281,-7.377308844323832,-0.49762236103918833,-2.6501790881719876,3.14057200715194
03H041,2.546875183271913,11.655663898348838,-15.76821762436365,-5.145338459602084,-3.4508251707670823,-2.262070658496209,-0.14077659809305695,-2.0321839774670214,8.805495784237365,-4.202382476662402,-2.343047440245258,1.0529609855673814,2.6894493251483187,-2.3368515898435627,-0.7337066163072679,-3.011060589119128,-0.5196139829051086
03H052,11.870475765765807,22.701696927519777,-11.988303451538592,-6.974420430723432,-7.0688617235248055,0.19059549370853768,-2.5472797455228795,1.8524566051510907,7.106992916816364,-4.129023620717327,1.1476043654296904,1.8158851379201308,3.155210755335185,-6.669372883680554,-2.1761052336552353,2.7562303014274954,-3.597344575500246
03H060,29.38929337747095,12.504279131089312,-8.624214892477916,-17.381606694743535,8.773993378836277,-1.3254138195730159,-8.8408356756712,-1.9054934358810425,6.083428938855557,-0.6819115505024703,1.0986544741655186,4.705274704535809,6.890208908362956,-7.527689121228187,-0.7010277544619452,-2.5722038459858907,1.7135058751871803
03H065,-1.0967948854636935,-0.013170116840015789,11.101165302139897,-3.4411775996365344,5.074163331823623,-10.262821812776433,8.93426573373837,3.291922861124762,5.112700072142647,6.733317634738372,-7.1003581653321906,3.8947802014288233,2.944601488632443,-3.452107571134455,-1.8145448636683557,4.471205650779067,-9.975159780652543
