,LINC00237,AC010260.1,THOC7_AS1,KLF9,AC122707.1,AC008395.1,AC098820.2,AC007229.1,AL049870.4,AC110998.1,ZNF337_AS1,MFSD4B,GCLM,Z95114.4,GSG1,PRR13P5,ANKRD20A21P,AL358394.3,FCHO2,AF254982.1,AL078596.1,AL732372.2,AC139453.2,BX927359.1,SPRR4,AC073349.2,FOXRED1,ABCC11,AL135929.1,PSMD6,DSG1,LGALS1,HK2,AC113383.1,AC099331.1,CENPA,AC017048.3,AC008622.2,AC092809.2,TMCO1,AC107983.1,PGAM1P13,GPD2,TRHDE_AS1,CTDNEP1,CENPB,TCEA2,RPSAP55,RIMBP3C,AL136162.1
02H053,0.0,0.0,1.2741578492636798,0.03742649794062367,0.0,0.17318626841227402,0.8937617620579434,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.0,1.5189085736914143,0.40483371661993806,0.03742649794062367,0.0,0.0,0.0,0.004321373782642578,0.0,1.1781132523146318,1.2322335211147337,1.1430148002540952,0.5888317255942073,0.7067177823367587,0.06445798922691845,0.008600171761917567,2.6264430253312945,0.0,0.0,0.0,0.0,0.0,0.07554696139253074,0.49831055378960054,0.008600171761917567,1.321805483857539,1.077731179652392,0.0,0.4871383754771864,1.7890869150880286,0.0,1.1092409685882032,0.11394335230683678,0.0
02H066,0.0,0.0,1.4539295920577286,0.012837224705172217,0.0,0.17318626841227402,0.8142475957319202,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.02530586526477026,0.0,1.4299136977637545,0.4065401804339551,0.24054924828259971,0.004321373782642578,0.0,0.0,0.008600171761917567,0.0,1.2600713879850747,1.3710678622717363,1.290479813330673,0.43933269383026263,1.082066934285113,0.10720996964786837,0.0,2.641612903911509,0.0,0.0,0.0,0.0,0.0,0.10380372095595687,0.46686762035410945,0.0,1.500236474825639,1.132579847659737,0.0,0.012837224705172217,1.9667516640513778,0.09342168516223506,1.5535189401489695,0.31175386105575426,0.0
03H016,0.0,0.0,1.783260232872949,0.0,0.0,0.2944662261615929,1.2301933788690456,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.0,0.07188200730612536,0.021189299069938092,0.0,1.0923696996291206,1.1034616220947049,0.029383777685209667,0.029383777685209667,0.0,0.0,0.021189299069938092,0.0,1.4824447919182653,1.4273237863572472,1.362670929725667,0.21218760440395779,1.0453229787866574,0.546542663478131,0.0,2.398859738404261,0.0,0.008600171761917567,0.0,0.0,0.012837224705172217,0.13987908640123647,0.49968708261840383,0.012837224705172217,1.1580607939366052,1.2005769267548483,0.0,0.11727129565576427,2.258301975656924,0.0,1.1583624920952498,0.04921802267018165,0.03742649794062367
03H022,0.0,0.0,1.6464037262230695,0.07918124604762482,0.0,0.320146286111054,1.5462958351214424,0.03342375548694973,0.02530586526477026,0.0,0.0,0.0,0.0,0.0,1.401572845676446,0.07554696139253074,0.0,1.2435341018320618,1.271609301378832,0.0,0.05307844348341968,0.0,0.0,0.04139268515822507,0.0,1.627570664180543,1.3079237036118816,1.5206145218782359,0.32428245529769273,1.3016809492935764,0.2671717284030138,0.0,2.3731511671158896,0.0,0.0,0.0,0.0,0.0,0.0,0.6683859166900001,0.0,1.1142772965615864,1.09725730969342,0.0,0.07188200730612536,2.055722266483576,0.0,1.3312247810207325,0.17318626841227402,0.0
03H024,0.008600171761917567,0.0,1.3803921600570273,0.04921802267018165,0.004321373782642578,0.38021124171160603,1.247236549506764,0.02530586526477026,0.0,0.0,0.021189299069938092,0.0,0.0,0.0,0.03742649794062367,0.01703333929878037,0.0,1.1580607939366052,0.7895807121644255,0.0,0.04532297878665747,0.0,0.0,0.0,0.0,1.467312062980552,1.5886078047426866,1.454387467146955,0.42324587393680785,0.885926339801431,0.35602585719312274,0.0,2.4003825480454286,0.0,0.0,0.0,0.0,0.0,0.0,0.5078558716958309,0.0,1.3424226808222062,1.024485667699167,0.0,0.21218760440395779,2.053385799817482,0.06445798922691845,1.4892551683692605,0.4329692908744057,0.0
03H028,0.0,0.0,1.8907562519182182,0.012837224705172217,0.0,0.03342375548694973,0.7708520116421442,0.403120521175818,0.0,0.0,0.1553360374650618,0.0,0.0,0.0,0.008600171761917567,0.01703333929878037,0.0,1.3059958827708047,0.3873898263387294,0.0,0.0,0.0,0.0,0.0,0.0,1.1693804953119495,1.2380461031287955,1.682506085939011,0.7767011839884108,0.5390760987927766,0.36921585741014284,0.0,2.5465303253914557,0.0,0.0,0.0,0.004321373782642578,0.0,0.0,0.33041377334919075,0.0,1.1445742076096164,1.3727279408855955,0.0,0.11394335230683678,2.2438562328065057,0.0,1.5974757898703775,0.12385164096708583,0.0
03H033,0.0,0.0,1.6885977750811698,0.03342375548694973,0.004321373782642578,0.07188200730612536,0.7867514221455612,0.02530586526477026,0.0,0.0,0.004321373782642578,0.0,0.0,0.012837224705172217,0.029383777685209667,0.021189299069938092,0.0,1.2108533653148932,0.6148972160331346,0.0,0.008600171761917567,0.008600171761917567,0.04921802267018165,0.05307844348341968,0.0,1.0433622780211296,1.2237554536572413,1.3632358044836939,0.5550944485783191,0.9618954736678504,0.07554696139253074,0.004321373782642578,2.4583809728567787,0.004321373782642578,0.04532297878665747,0.0,0.0,0.008600171761917567,0.03342375548694973,0.6020599913279624,0.0,1.4533183400470377,1.2407987711173312,0.008600171761917567,0.05307844348341968,2.1112961264822627,0.0,1.6400837313731202,0.1205739312058499,0.0
03H036,0.0,0.0,1.5200903281128424,0.02530586526477026,0.0,0.28555730900777376,1.0338256939533104,0.029383777685209667,0.1430148002540951,0.0,0.0,0.0,0.0,0.02530586526477026,0.056904851336472634,0.02530586526477026,0.0,1.3147096929551738,1.4877038631637263,0.0,0.0,0.0,0.0,0.012837224705172217,0.0,1.504742636271688,1.2337573629655105,1.5548524343720544,0.23552844690754893,1.0877814178095424,0.22788670461367355,0.004321373782642578,2.3113511575713397,0.0,0.0,0.029383777685209667,0.0,0.0,0.0,0.8813846567705729,0.0,1.1696744340588068,1.1784013415337553,0.0,0.09691001300805642,1.964966374831098,0.0,1.4258601450778403,0.08990511143939793,0.0
03H041,0.0,0.0,1.6390878710837373,0.021189299069938092,0.0,0.28555730900777376,1.1740598077250255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02530586526477026,0.01703333929878037,0.0,1.3926969532596658,0.893206753059848,0.04532297878665747,0.0,0.0,0.0,0.012837224705172217,0.0,1.3016809492935764,1.3356584522893016,1.4225898398514822,0.3096301674258988,1.2145789535704992,0.18752072083646307,0.0,2.526390976036641,0.0,0.0,0.02530586526477026,0.0,0.0,0.0,0.5910646070264992,0.0,1.5304558435846762,1.3932241163612973,0.029383777685209667,0.21218760440395779,2.141010553342324,0.04139268515822507,1.1408221801093106,0.18752072083646307,0.0
03H052,0.012837224705172217,0.0,1.4658288153574364,0.0,0.0,0.16136800223497488,1.2538224387080734,0.008600171761917567,0.0,0.0,0.012837224705172217,0.008600171761917567,0.0,0.01703333929878037,0.03342375548694973,0.01703333929878037,0.0,1.1146109842321732,0.7810369386211318,0.021189299069938092,0.008600171761917567,0.0,0.02530586526477026,0.0,0.0,1.2452658394574612,1.2579184503140584,1.3554515201265174,0.11058971029924897,0.8102325179950841,0.359835482339888,0.0,2.59019514831387,0.004321373782642578,0.021189299069938092,0.012837224705172217,0.004321373782642578,0.004321373782642578,0.012837224705172217,0.35793484700045386,0.008600171761917567,1.3531465462139793,1.2506639194632434,0.01703333929878037,0.13353890837021748,2.05307844348342,0.008600171761917567,1.030599721965951,0.04921802267018165,0.0
