,AP002505.2,C22orf31,SLC26A10,AC005229.1,CRYBA4,AC011095.1,EP400P1,METTL15P1,C1orf50,FCF1P8,AC006122.1,NPIPA5,FKBP4,AC006064.1,RN7SL183P,AL360270.2,TSPAN18_AS1
03H024,0.008600171761917567,0.0,1.9356080185178692,0.0,0.0,1.2410481506716444,0.0,0.06445798922691845,0.0,1.0330214446829107,0.0,0.0,0.0,0.0,1.0881360887005513,0.004321373782642578,0.0
03H028,0.012837224705172217,0.0,1.9503161639246003,0.0,0.0,0.9656719712201067,0.0,0.008600171761917567,0.0,0.6884198220027106,0.0,0.0,0.0,0.04532297878665747,1.3807537708039002,0.004321373782642578,0.0
03H033,0.008600171761917567,0.004321373782642578,1.6202401898458314,0.0,0.0,1.1245042248342823,0.004321373782642578,0.004321373782642578,0.01703333929878037,1.084576277934331,0.021189299069938092,0.05307844348341968,0.004321373782642578,0.021189299069938092,1.34143452457814,0.004321373782642578,0.0
03H036,0.04532297878665747,0.0,1.6267508536833932,0.0,0.0,1.506234359612126,0.012837224705172217,0.004321373782642578,0.0,1.4539295920577286,0.0,0.0,0.0,0.09342168516223506,1.2143138974243997,0.0,0.0
03H041,0.012837224705172217,0.0,1.9439394644722163,0.0,0.0,1.1917303933628562,0.01703333929878037,0.0,0.03342375548694973,1.2400497721126476,0.0,0.0,0.0,0.0,1.338854746252323,0.0,0.0
03H052,0.012837224705172217,0.0,1.974419573852286,0.0,0.0,1.2586372827240764,0.004321373782642578,0.01703333929878037,0.0,1.216165902285993,0.0,0.0,0.0,0.0,1.1192558892779367,0.004321373782642578,0.0
03H060,0.0,0.0,1.6633239336282124,0.0,0.0,0.9552065375419417,0.004321373782642578,0.004321373782642578,0.0,0.8796692056320535,0.0,0.0,0.0,0.0,0.8254261177678232,0.0,0.0
03H065,0.021189299069938092,0.0,1.6946051989335686,0.03742649794062367,0.0,1.6357852355336517,0.0,0.021189299069938092,0.03742649794062367,1.566083784167996,0.0,0.029383777685209667,0.0,0.0,1.2296818423176759,0.0,0.0
03H067,0.021189299069938092,0.004321373782642578,1.9552065375419416,0.0,0.0,1.403635189790548,0.004321373782642578,0.008600171761917567,0.0,1.3117538610557542,0.0,0.0,0.0,0.0,1.3484995702838378,0.0,0.0
03H070,0.029383777685209667,0.0,1.909020854211156,0.0,0.0,1.2375437381428744,0.0,0.01703333929878037,0.02530586526477026,1.589726256254237,0.0,0.0,0.0,0.0,1.3818367999983434,0.0,0.0
03H081,0.021189299069938092,0.0,1.799202656300525,0.0,0.0,1.6310376965367404,0.0,0.021189299069938092,0.0,1.5620548296563785,0.0,0.0,0.0,0.0,1.2641091563058084,0.0,0.0
03H090,0.0,0.0,0.9749719942980689,0.0,0.0,1.7652959296980566,0.008600171761917567,0.02530586526477026,0.0,1.0659529803138696,0.0,0.0,0.008600171761917567,0.029383777685209667,0.9758911364017928,0.0,0.0
03H095,0.008600171761917567,0.0,1.9648251178833886,0.0,0.0,1.3469394626989906,0.004321373782642578,0.04139268515822507,0.0,1.4510184521554574,0.0,0.0,0.0,0.0,1.3600250891893975,0.0,0.0
03H109,0.0,0.0,1.9292145037373938,0.0,0.0,1.1821292140529984,0.07918124604762482,0.012837224705172217,0.0,1.4952667443878105,0.0,0.0,0.0,0.0,1.38147609027503,0.004321373782642578,0.0
03H112,0.01703333929878037,0.0,1.9382694834629113,0.0,0.0,1.1804126328383238,0.012837224705172217,0.004321373782642578,0.0,1.305566313515304,0.0,0.0,0.0,0.021189299069938092,1.2019430634016501,0.0,0.0
03H116,0.06445798922691845,0.0,1.8797837800904158,0.05307844348341968,0.0,1.4671639659690903,0.0,0.021189299069938092,0.029383777685209667,1.594171479114912,0.0,0.0,0.01703333929878037,0.0,1.6228354795215203,0.0,0.0
03H119,0.008600171761917567,0.0,1.937818684698356,0.0,0.0,1.5024271199844328,0.0,0.06445798922691845,0.0,1.2385478876813278,0.0,0.0,0.02530586526477026,0.029383777685209667,1.31492005599242,0.0,0.0
04H006,0.02530586526477026,0.0,1.6560023206829573,0.0,0.0,1.7075701760979363,0.004321373782642578,0.11727129565576427,0.04532297878665747,1.2576785748691846,0.0,0.0,0.008600171761917567,0.029383777685209667,0.9684829485539351,0.0,0.0
04H024,0.0,0.0,1.9337402994969353,0.0,0.0,1.4163075870598827,0.0,0.012837224705172217,0.02530586526477026,1.1693804953119495,0.0,0.0,0.0,0.0,1.5351674851149442,0.004321373782642578,0.0
04H025,0.03342375548694973,0.0,1.7061201097027037,0.0,0.0,1.3163897510731954,0.0,0.012837224705172217,0.0,1.2172206556445189,0.012837224705172217,0.0,0.01703333929878037,0.0,1.4369573306694496,0.0,0.0
04H030,0.029383777685209667,0.0,1.864985460659794,0.0,0.008600171761917567,1.2830749747354715,0.02530586526477026,0.008600171761917567,0.021189299069938092,1.449478399187365,0.0,0.0,0.004321373782642578,0.02530586526477026,1.2988530764097066,0.0,0.0
04H039,0.0,0.0,1.6413749451921256,0.0,0.0,1.2610248339923973,0.0,0.008600171761917567,0.0,0.5763413502057928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04H041,0.0,0.0,1.7312663490754916,0.0,0.0,1.4154741681092358,0.0,0.02530586526477026,0.04532297878665747,1.2038484637462348,0.0,0.0,0.008600171761917567,0.0,1.447778009294621,0.0,0.0
04H048,0.012837224705172217,0.0,1.6075622431835883,0.0,0.0,1.5548524343720544,0.0,0.03742649794062367,0.056904851336472634,1.373095987078727,0.0,0.0,0.0,0.0,1.1132746924643504,0.0,0.0
04H050,0.03742649794062367,0.0,1.775756037844098,0.0,0.0,1.2605483726369795,0.0,0.0,0.0,1.380934463330702,0.0,0.0,0.0,0.0,1.4256972133625911,0.004321373782642578,0.0
04H054,0.008600171761917567,0.0,2.0017769670774395,0.0,0.0,1.2893659515200318,0.0,0.0,0.0,1.424718337331567,0.012837224705172217,0.0,0.0,0.0,1.3830969299490943,0.0,0.0
04H061,0.01703333929878037,0.0,1.7385427409287852,0.0,0.0,1.5054213275832808,0.012837224705172217,0.02530586526477026,0.04532297878665747,1.7527396939353281,0.0,0.0,0.0,0.02530586526477026,1.1577588860468637,0.0,0.0
04H063,0.0,0.0,1.802705327074352,0.0,0.0,1.6774244377012475,0.029383777685209667,0.056904851336472634,0.03342375548694973,1.4742162640762553,0.0,0.02530586526477026,0.004321373782642578,0.12385164096708583,1.1455071714096627,0.004321373782642578,0.0
