,LINC01711,AC136619.1,STAG3L5P,MYCBP2,CASC15,PSMD10P1,AC006146.1,MRTFB,ZNF350_AS1,TRIM32,OPRPN,TLCD1,AC008080.1,HUS1,NPAS1,LINC02576,DNAJB5_DT,SCGB1C1,HSD17B7P1,AC012507.3,USHBP1,VAC14,ZC3H12D,H3F3B,HOXC4,AC092814.2,AC068898.2,NLRP4,AC027139.2,LINC02752,AC079148.3,WNT5A,OR10Q2P,NMNAT1P4,LY6G6D,MLC1,AC022336.1,LINC00331,ACSL4,DUXAP5,LINC01987,RNU6_223P,RN7SL42P,AC002985.1,IKBKB,AC008785.1,OTOAP1,LCAT,AC006512.2,ALDH7A1
02H053,0.568201724066995,0.04139268515822507,0.0,0.568201724066995,0.02530586526477026,0.0,0.0,0.0,0.0,0.0,0.03342375548694973,0.13033376849500614,0.012837224705172217,0.0,0.0,0.2787536009528289,0.0,0.4265112613645752,1.988648125235751,0.1205739312058499,0.0,0.0,0.0,0.004321373782642578,0.0,0.4927603890268375,0.07554696139253074,0.0,0.0,0.004321373782642578,0.0,0.0,0.0,0.9474337218870508,0.0,0.03342375548694973,0.03742649794062367,0.250420002308894,0.8579352647194289,0.8155777483242672,0.03342375548694973,0.0,0.11394335230683678,0.0,0.0,0.0,0.0,0.0,1.6960067152185454,0.0
02H066,0.8512583487190752,0.04139268515822507,0.0,0.534026106056135,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,0.08635983067474821,0.03342375548694973,0.0,0.0,0.42324587393680785,0.004321373782642578,0.60422605308447,2.0170750963760593,0.24303804868629442,0.0,0.012837224705172217,0.01703333929878037,0.008600171761917567,0.0,0.7058637122839193,0.09691001300805642,0.0,0.0,0.0,0.0,0.0,0.03342375548694973,0.9185545305502735,0.0,0.05307844348341968,1.4714384073892992,0.15836249209524964,1.0051805125037803,0.9434945159061027,0.08990511143939793,0.0,0.2148438480476979,0.0,0.0,0.0,0.0,0.0,1.7616271845615827,0.0
03H016,0.9258275746247423,0.021189299069938092,0.0,0.9339931638312423,0.03742649794062367,0.0,0.0,0.0,0.0,0.0,0.029383777685209667,0.09342168516223506,0.056904851336472634,0.0,0.0,0.36172783601759284,0.004321373782642578,0.5010592622177514,1.9075188461066293,0.03742649794062367,0.0,0.0,0.09342168516223506,0.07918124604762482,0.0,0.6253124509616739,0.021189299069938092,0.0,0.0,0.13353890837021748,0.0,0.0,0.01703333929878037,0.4265112613645752,0.0,0.01703333929878037,0.5646660642520893,0.08635983067474821,0.9390197764486665,1.2706788361447063,0.09342168516223506,0.416640507338281,0.1846914308175988,0.0,0.0,0.004321373782642578,0.0,0.0,1.86135516019326,0.0
03H022,0.7589118923979735,0.0,0.0,0.8561244442423004,0.01703333929878037,0.0,0.021189299069938092,0.0,0.0,0.0,0.10720996964786837,0.0,0.16136800223497488,0.0,0.0,0.639486489268586,0.0,0.7604224834232121,2.306896597539366,0.15836249209524964,0.0,0.0,0.0,0.1205739312058499,0.0,0.8549130223078556,0.1430148002540951,0.0,0.0,0.3384564936046048,0.0,0.0,0.0,0.04921802267018165,0.0,0.10380372095595687,0.436162647040756,0.24797326636180664,1.0073209529227445,1.0580462303952818,0.0,0.0,0.20411998265592482,0.0,0.0,0.0,0.0,0.0,1.8900295861634169,0.0
03H024,0.6522463410033232,0.0,0.0,0.31806333496276157,0.029383777685209667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06818586174616162,0.0,0.0,0.3010299956639812,0.0,0.6884198220027106,2.0521165505499983,0.35024801833416286,0.0,0.0,0.0,0.0,0.0,0.8267225201689921,0.029383777685209667,0.0,0.0,0.02530586526477026,0.0,0.0,0.008600171761917567,0.28103336724772754,0.0,0.22010808804005513,0.056904851336472634,0.12385164096708583,1.1038037209559568,0.8915374576725645,0.10380372095595687,0.0,0.20682587603184968,0.0,0.0,0.0,0.0,0.0,1.8626679502285879,0.0
03H028,1.0366288953621612,0.01703333929878037,0.0,0.7109631189952756,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.03342375548694973,0.04139268515822507,0.01703333929878037,0.0,0.0,0.4065401804339551,0.0,0.787460474518415,2.070665753453728,0.34044411484011833,0.0,0.0,0.0,0.12710479836480765,0.0,0.43136376415898736,0.0,0.0,0.0,0.06445798922691845,0.0,0.0,0.0,0.08990511143939793,0.0,0.16731733474817606,1.2046625117482188,0.48572142648158,0.9294189257142927,0.7015679850559274,0.02530586526477026,0.0,0.029383777685209667,0.0,0.0,0.0,0.0,0.0,1.6424645202421213,0.0
03H033,1.0976043288744108,0.0,0.0,0.5763413502057928,0.07554696139253074,0.012837224705172217,0.004321373782642578,0.0,0.0,0.0,0.0,0.16136800223497488,0.1931245983544616,0.0,0.0,0.37474834601010387,0.004321373782642578,0.5563025007672873,1.9372168908627054,0.250420002308894,0.0,0.0,0.0,0.03742649794062367,0.0,0.5276299008713387,0.02530586526477026,0.0,0.0,0.01703333929878037,0.004321373782642578,0.0,0.01703333929878037,0.029383777685209667,0.012837224705172217,0.10037054511756291,0.8530895298518655,0.20139712432045143,0.9986951583116558,0.9385197251764918,0.08635983067474821,0.24303804868629442,0.09691001300805642,0.0,0.0,0.008600171761917567,0.0,0.0,1.6706168864003255,0.004321373782642578
03H036,0.705007959333336,0.17026171539495738,0.0,0.5024271199844327,0.029383777685209667,0.0,0.0,0.0,0.0,0.0,0.0,0.1205739312058499,0.14921911265537988,0.0,0.0,0.6627578316815741,0.0,1.0637085593914175,2.286254320828791,0.10380372095595687,0.0,0.0,0.0,0.008600171761917567,0.0,1.3905818785504354,0.21748394421390624,0.0,0.0,0.07918124604762482,0.0,0.0,0.0,0.22010808804005513,0.0,0.22010808804005513,0.08990511143939793,0.17609125905568124,0.8195439355418687,1.2442771208018428,0.11058971029924897,0.0,0.21218760440395779,0.0,0.0,0.0,0.0,0.05307844348341968,1.4807253789884878,0.0
03H041,0.7930916001765802,0.0,0.0,0.271841606536499,0.021189299069938092,0.0,0.0,0.0,0.0,0.0,0.07554696139253074,0.07188200730612536,0.21218760440395779,0.0,0.0,0.4471580313422192,0.0,0.7558748556724915,2.0825340528727136,0.30749603791321295,0.0,0.0,0.0,0.07918124604762482,0.0,0.6570558528571039,0.07188200730612536,0.0,0.0,0.04921802267018165,0.0,0.0,0.02530586526477026,0.45331834004703764,0.0,0.03742649794062367,0.9731278535996987,0.22530928172586287,1.165541076722373,1.000867721531227,0.03742649794062367,0.0,0.13987908640123647,0.0,0.0,0.004321373782642578,0.0,0.0,1.8541845438336066,0.0
03H052,0.5078558716958309,0.0,0.0,0.5763413502057928,0.05307844348341968,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.06818586174616162,0.01703333929878037,0.0,0.0,0.35024801833416286,0.012837224705172217,0.44560420327359757,1.9431976300689262,0.15228834438305647,0.0,0.008600171761917567,0.0,0.03742649794062367,0.008600171761917567,0.5145477526602861,0.03742649794062367,0.0,0.0,0.13033376849500614,0.0,0.0,0.012837224705172217,0.36172783601759284,0.012837224705172217,0.01703333929878037,0.16731733474817606,0.08635983067474821,0.850033257689769,1.0043213737826426,0.07918124604762482,0.13987908640123647,0.1367205671564068,0.0,0.0,0.02530586526477026,0.0,0.0,1.7441364524012473,0.0
03H060,0.515873843711679,0.0,0.0,0.5717088318086876,0.0,0.0,0.0,0.0,0.0,0.0,0.029383777685209667,0.0,0.15228834438305647,0.0,0.0,0.24303804868629442,0.0,0.5888317255942073,1.8321894610685132,0.15836249209524964,0.0,0.012837224705172217,0.0,0.021189299069938092,0.0,0.5477747053878226,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,0.008600171761917567,0.2764618041732442,0.0,0.06069784035361165,0.7474118078864233,0.08635983067474821,0.6222140229662952,0.7986506454452689,0.012837224705172217,0.0,0.1205739312058499,0.0,0.0,0.0,0.0,0.0,1.6141587095091752,0.0
03H065,1.04766419460156,0.0,0.0,0.8254261177678232,0.4082399653118496,0.0,0.0,0.0,0.0,0.0,0.03742649794062367,0.22271647114758328,0.056904851336472634,0.0,0.0,0.4578818967339924,0.012837224705172217,0.5314789170422551,2.0653929615619915,0.07554696139253074,0.0,0.012837224705172217,0.0,0.2528530309798932,0.0,1.080987046910887,0.18184358794477254,0.0,0.0,0.056904851336472634,0.0,0.0,0.0,0.06445798922691845,0.0,0.20139712432045143,0.01703333929878037,0.06818586174616162,0.9339931638312423,1.294466226161593,0.17897694729316943,0.0,0.292256071356476,0.0,0.0,0.0,0.0,0.0,1.9061733636440485,0.0
03H067,0.5171958979499743,0.01703333929878037,0.0,0.6095944092252201,0.1430148002540951,0.0,0.0,0.0,0.0,0.0,0.03342375548694973,0.14921911265537988,0.012837224705172217,0.0,0.0,0.5390760987927766,0.01703333929878037,0.6095944092252201,1.9535180814449926,0.22010808804005513,0.0,0.0,0.0,0.22010808804005513,0.0,0.7558748556724915,0.03742649794062367,0.0,0.0,0.056904851336472634,0.0,0.0,0.0,0.7701152947871016,0.0,0.04139268515822507,0.11394335230683678,0.24303804868629442,1.1737688231366499,1.2137832993353042,0.1205739312058499,0.0,0.23552844690754893,0.17026171539495738,0.0,0.0,0.0,0.0,1.822037248072585,0.0
03H070,1.0090257420869102,0.02530586526477026,0.0,0.9425041061680807,0.12710479836480765,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.0,0.24551266781414982,0.0,0.0,0.6821450763738318,0.0,0.7656685547590141,2.203658299456247,0.3424226808222063,0.0,0.0,0.0,0.029383777685209667,0.0,0.9084850188786497,0.06445798922691845,0.0,0.0,0.3159703454569178,0.0,0.0,0.0,0.11394335230683678,0.0,0.42488163663106704,1.4320066872695985,0.07554696139253074,1.065206128054312,1.1643528557844371,0.17609125905568124,0.0,0.2304489213782739,0.2944662261615929,0.0,0.004321373782642578,0.0,0.0,1.9202798946329485,0.0
03H081,0.8388490907372553,0.029383777685209667,0.0,0.17897694729316943,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.09691001300805642,0.03342375548694973,0.22788670461367355,0.0,0.0,0.7558748556724915,0.0,0.8506462351830666,2.087887849492933,0.13353890837021748,0.0,0.0,0.0,0.03742649794062367,0.0,1.171726453653231,0.19589965240923368,0.0,0.0,0.0,0.0,0.0,0.0,0.04921802267018165,0.0,0.41830129131974547,0.08278537031645007,0.17318626841227402,0.9459607035775686,1.2778383330020475,0.19589965240923368,0.19865708695442263,0.18752072083646307,0.292256071356476,0.0,0.0,0.0,0.0,1.75495958772171,0.0
03H090,0.7649229846498885,0.0,0.0,0.1903316981702915,0.021189299069938092,0.0,0.0,0.0,0.0,0.0,0.0,0.07918124604762482,0.02530586526477026,0.0,0.0,0.35024801833416286,0.0,0.6063813651106049,1.7635777244666453,0.10380372095595687,0.0,0.0,0.0,0.0,0.0,1.061829307294699,0.029383777685209667,0.0,0.0,0.004321373782642578,0.0,0.0,0.0,0.5705429398818975,0.0,0.04139268515822507,0.23552844690754893,0.029383777685209667,0.32633586092875144,1.1034616220947049,0.08278537031645007,0.0,0.09342168516223506,0.0,0.0,0.0,0.0,0.0,1.7428036584691655,0.0
