,AKR1B10,AL161652.1,RXRA,TRNP1,C4A,AC020558.6,NOS1AP,ZMYM4_AS1,ERICH3_AS1,CARD9,AP001317.1,PPP1R2P10,Y_RNA,JPT2,AC096922.1,PALB2,AL138918.1
08H055,0.1367205671564068,1.6953065224318027,0.0,0.03342375548694973,0.0,1.0729847446279304,0.11727129565576427,0.11058971029924897,0.0,1.100370545117563,0.0,0.012837224705172217,0.01703333929878037,1.230959555748569,0.14921911265537988,1.0265332645232967,0.0
08H056,0.2304489213782739,1.9730816496013674,0.0,0.0,0.0,0.6541765418779605,0.004321373782642578,0.1430148002540951,0.0,1.2819419334408249,0.0,0.008600171761917567,0.03342375548694973,1.4336098433237183,0.1903316981702915,1.2479732663618066,0.0
08H062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08H063,0.0,0.0,0.0,0.0,0.0,1.1604685311190375,0.004321373782642578,0.40483371661993806,0.0,1.1504494094608806,0.029383777685209667,0.0,0.0,1.1975562131535364,0.292256071356476,0.07554696139253074,0.0
08H065,0.008600171761917567,1.9804124616068914,0.0,0.12385164096708583,0.0,1.061829307294699,0.0,0.19865708695442263,0.0,1.4644895474339714,0.01703333929878037,0.0,0.004321373782642578,1.6286953827140234,0.22788670461367355,1.1293675957229856,0.0
08H072,0.03742649794062367,1.9185021396361739,0.0,0.012837224705172217,0.0,1.126780577012009,0.0,0.26245108973042947,0.0,1.1007150865730817,0.0,0.008600171761917567,0.004321373782642578,1.2920344359947364,0.3010299956639812,1.1354506993455138,0.0
08H081,0.03342375548694973,1.8623103099542704,0.0,0.01703333929878037,0.0,1.0740846890282438,0.004321373782642578,0.146128035678238,0.0,1.0707764628434346,0.0,0.0,0.012837224705172217,1.121559844187501,0.21748394421390624,1.0128372247051722,0.0
08H082,0.04921802267018165,1.979001748474721,0.0,0.1430148002540951,0.021189299069938092,1.161667412437736,0.0,0.416640507338281,0.0,1.568788212315347,0.0,0.0,0.008600171761917567,1.6040099324122303,0.35793484700045386,1.255754786643044,0.0
08H085,0.06818586174616162,1.919862253555538,0.0,0.0,0.0,1.5338991007965945,0.0,0.1205739312058499,0.0,1.331427296520743,0.0,0.0,0.0,1.0038911662369105,0.0,1.129689892199301,0.0
08H087,0.13033376849500614,1.6669857183296606,0.0,0.01703333929878037,0.0,1.1169396465507557,0.0,0.17609125905568124,0.0,0.9508514588885464,0.04532297878665747,0.0,0.0,1.085290578230065,0.20411998265592482,0.9982593384236987,0.0
08H089,0.021189299069938092,1.6266482684740102,0.0,0.0,0.0,1.0916669575956846,0.0,0.26245108973042947,0.0,0.6190933306267428,0.0,0.0,0.012837224705172217,0.8312296938670634,0.10037054511756291,0.8407332346118067,0.0
08H099,0.01703333929878037,1.7663384752512874,0.0,0.0,0.0,0.865103974641128,0.0,0.07918124604762482,0.0,0.8055008581584001,0.0,0.0,0.004321373782642578,1.0773679052841565,0.22530928172586287,0.9876662649262746,0.0
