,EEF1GP1,AP001264.1,SPDYE8P,MTCO2P8,LINC02213,AL031432.4,PRSS2,AC005277.1,AC007563.2,AC010157.2,KDR,SPIN4,AP003400.2,NAA35,HRH4,MYC,TEKT2
05H066,0.01703333929878037,0.1367205671564068,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,0.04921802267018165,0.0,0.012837224705172217,0.2787536009528289,0.03742649794062367,0.06818586174616162,0.0,0.24551266781414982,0.0
05H072,0.012837224705172217,0.20951501454263097,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.012837224705172217,0.0,0.0,0.26245108973042947,0.0,0.21748394421390624,0.0,0.08990511143939793,0.0
05H078,0.012837224705172217,0.12710479836480765,0.0,0.008600171761917567,0.0,0.0,0.16731733474817606,0.0,0.0,0.0,0.0,0.35024801833416286,0.0,0.01703333929878037,0.0,0.250420002308894,0.0
05H090,0.0,0.09342168516223506,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.004321373782642578,0.0,0.0,0.029383777685209667,0.012837224705172217,0.11058971029924897,0.0,0.056904851336472634,0.0
05H094,0.0,0.146128035678238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02530586526477026,0.25527250510330607,0.0,0.0,0.0,0.2304489213782739,0.0
05H097,0.01703333929878037,0.5843312243675307,0.0,0.0,0.0,0.0,0.18752072083646307,0.01703333929878037,0.0,0.0,0.004321373782642578,0.23804610312879543,0.012837224705172217,0.06069784035361165,0.0,0.13033376849500614,0.0
05H099,0.004321373782642578,0.1367205671564068,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.0,0.0,0.0,0.2304489213782739,0.0,0.008600171761917567,0.0,0.0,0.0
05H111,0.012837224705172217,0.31806333496276157,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.004321373782642578,0.0,0.01703333929878037,0.292256071356476,0.02530586526477026,0.06069784035361165,0.0,0.09691001300805642,0.0
05H113,0.012837224705172217,0.287801729930226,0.0,0.0,1.0253058652647702,0.0,0.0,0.021189299069938092,0.0,0.0,0.004321373782642578,0.5587085705331657,0.0,0.06069784035361165,0.0,0.24551266781414982,0.0
05H118,0.004321373782642578,0.10720996964786837,0.0,0.0,0.0,0.0,0.0,0.0,0.029383777685209667,0.012837224705172217,0.004321373782642578,0.26481782300953643,0.0,0.04532297878665747,0.008600171761917567,0.13987908640123647,0.0
05H128,0.021189299069938092,0.02530586526477026,0.0,0.0,0.0,0.0,0.0,0.04139268515822507,0.0,0.0,0.021189299069938092,0.5453071164658241,0.0,0.09342168516223506,0.0,0.08635983067474821,0.0
05H136,0.01703333929878037,0.16731733474817606,0.0,0.0,1.011570443597278,0.0,0.0,0.02530586526477026,0.0,0.0,0.004321373782642578,0.24303804868629442,0.0,0.01703333929878037,0.0,0.04139268515822507,0.0
05H143,0.021189299069938092,0.6180480967120927,0.0,0.0,0.0,0.012837224705172217,0.0,0.0,0.0,0.0,0.008600171761917567,0.6180480967120927,0.012837224705172217,0.004321373782642578,0.0,0.24303804868629442,0.0
05H149,0.004321373782642578,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.0,0.01703333929878037,0.021189299069938092,0.008600171761917567,0.3222192947339193,0.08278537031645007,0.012837224705172217,0.03342375548694973,0.17897694729316943,0.0
05H163,0.012837224705172217,0.05307844348341968,0.0,0.0,0.0,0.0,0.0,0.03342375548694973,0.004321373782642578,0.021189299069938092,0.012837224705172217,0.287801729930226,0.04139268515822507,0.02530586526477026,0.0,0.320146286111054,0.004321373782642578
05H179,0.04139268515822507,0.1553360374650618,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,0.008600171761917567,0.0,0.012837224705172217,0.4593924877592308,0.0,0.03342375548694973,0.0,0.29885307640970665,0.0
05H181,0.0,0.10037054511756291,0.0,0.0,0.0,0.0,0.0,0.021189299069938092,0.008600171761917567,0.0,0.004321373782642578,0.06818586174616162,0.04921802267018165,0.008600171761917567,0.0,0.07554696139253074,0.0
05H184,0.008600171761917567,0.004321373782642578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.0,0.2966651902615311,0.0,0.004321373782642578,0.004321373782642578,0.10037054511756291,0.0
05H193,0.02530586526477026,0.012837224705172217,0.0,0.0,0.0,0.0,0.0,0.0,0.008600171761917567,0.0,0.008600171761917567,0.3424226808222063,0.09342168516223506,0.06818586174616162,0.0,0.34830486304816066,0.0
05H195,0.01703333929878037,0.3521825181113625,0.0,0.0,0.0,0.0,0.250420002308894,0.0,0.004321373782642578,0.0,0.004321373782642578,0.6580113966571124,0.0,0.06069784035361165,0.0,0.28103336724772754,0.0
06H010,0.0,0.08635983067474821,0.0,0.0,0.0,0.0,0.07188200730612536,0.008600171761917567,0.012837224705172217,0.012837224705172217,0.004321373782642578,0.20411998265592482,0.07918124604762482,0.04921802267018165,0.0,0.004321373782642578,0.0
06H011,0.03742649794062367,0.28555730900777376,0.0,0.0,0.0,0.0,0.012837224705172217,0.01703333929878037,0.021189299069938092,0.0,0.004321373782642578,0.416640507338281,0.012837224705172217,0.029383777685209667,0.0,0.271841606536499,0.0
06H019,0.02530586526477026,0.0,0.0,0.0,0.0,0.0,0.029383777685209667,0.0,0.06818586174616162,0.0,0.004321373782642578,0.414973347970818,0.0,0.01703333929878037,0.0,0.07918124604762482,0.0
06H020,0.01703333929878037,0.01703333929878037,0.0,0.0,0.0,0.0,0.0,0.012837224705172217,0.004321373782642578,0.0,0.004321373782642578,0.320146286111054,0.0,0.04532297878665747,0.0,0.029383777685209667,0.0
06H021,0.008600171761917567,0.1643528557844371,0.0,0.0,0.0,0.0,0.06818586174616162,0.029383777685209667,0.01703333929878037,0.0,0.004321373782642578,0.4712917110589386,0.012837224705172217,0.02530586526477026,0.008600171761917567,0.2764618041732442,0.0
06H026,0.01703333929878037,0.24797326636180664,0.0,0.0,0.0,0.0,0.10720996964786837,0.021189299069938092,0.008600171761917567,0.0,0.012837224705172217,0.271841606536499,0.0,0.02530586526477026,0.02530586526477026,0.37839790094813763,0.0
06H028,0.008600171761917567,0.05307844348341968,0.0,0.0,0.0,0.0,0.03342375548694973,0.03742649794062367,0.0,0.0,0.021189299069938092,0.6085260335771941,0.04532297878665747,0.08635983067474821,0.0,0.43933269383026263,0.0
