,AC009054.2,PMPCB,AC005618.1,GIMAP8,AC107421.1,AL158825.3,AC092960.1,OSR1,KRT19P2,AC117500.6,CDK13,FOXI1,AC073862.5,LRIG2_DT,AL713866.1,AC012574.2,PYDC2
07H148,1.1007150865730817,0.0,0.0,0.0,0.0,0.0,0.6242820958356683,0.012837224705172217,0.0,0.0,0.0,0.0,1.5577477416414682,1.290479813330673,0.0,0.0,0.0
07H151,0.02530586526477026,0.0,0.0,0.0,0.0,0.0,0.416640507338281,0.04921802267018165,0.0,0.0,0.0,0.008600171761917567,1.648652695131223,1.3144992279731516,0.0,0.0,0.0
07H152,0.14921911265537988,0.0,0.0,0.0,0.0,0.0,0.6776069527204931,0.04921802267018165,0.0,0.0,0.0,0.0,1.5981336458132378,1.3455697560563922,0.0,0.0,0.0
07H156,1.2732328340430457,0.0,0.0,0.0,0.0,0.0,0.6095944092252201,0.0,0.0,0.0,0.0,0.0,1.5640739789771467,1.3070679506612983,0.0,0.0,0.0
07H158,0.1846914308175988,0.0,0.0,0.03342375548694973,0.0,0.02530586526477026,0.5550944485783191,0.012837224705172217,0.0,0.0,0.01703333929878037,0.0,1.6246945312720813,1.424064525417488,0.0,0.0,0.0
07H160,0.05307844348341968,0.0,0.0,0.0,0.0,0.0,0.7543483357110189,0.02530586526477026,0.0,0.0,0.0,0.0,0.9283958522567138,1.6904618932461783,0.0,0.0,0.0
08H004,0.4014005407815441,0.012837224705172217,0.0,0.0,0.0,0.021189299069938092,0.6414741105040995,0.029383777685209667,0.0,0.0,0.0,0.0,1.6059511575648728,1.255754786643044,0.0,0.0,0.0
08H011,0.47856649559384334,0.0,0.0,0.0,0.0,0.0,0.7234556720351858,0.01703333929878037,0.0,0.0,0.0,0.0,1.5921767573958667,1.1287222843384268,0.0,0.0,0.0
08H012,0.008600171761917567,0.0,0.0,0.03342375548694973,0.0,0.03742649794062367,0.38381536598043126,0.021189299069938092,0.0,0.0,0.0,0.0,1.5510838651857803,1.1580607939366052,0.0,0.0,0.0
08H021,0.33041377334919075,0.0,0.0,0.0,0.0,0.0,0.8048206787211624,0.0,0.0,0.0,0.0,0.06069784035361165,1.5414544287475889,1.3374592612906562,0.0,0.0,0.0
08H033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
