,ANP32A,MFSD5,AC104117.1,AC008915.2,AC010336.2,PDE4D,YBX1P1,SYNE3,AL031591.1,AC012555.1,AP000692.2,CYCSP52,PHBP11,AL445669.1,AC093908.1,TMEM201,RPSAP48,AL591002.1,OGFOD1P1,DMRT1,HMGB1P36,AC112482.2,AL031767.1,UGT2B11,NSUN7,OR6C5P,RN7SL363P,AL133215.3,AC139530.3,ITCH,TRMT10C,ASS1P12,ATP5MC1P3,AL132712.1,AC020549.3,AC005785.1,LINC00555,DIRAS3,AL355310.3,AC104453.1,LINC00485,AC008556.1,LINC02504,MTND1P11,CD101,LRRC14,ACTR3P3,CKM,GNAS_AS1,SYAP1
03H022,0.03342375548694973,0.0,0.0,0.03342375548694973,0.02530586526477026,0.8998205024270962,0.04139268515822507,0.9804578922761,0.15228834438305647,0.0,0.021189299069938092,0.02530586526477026,0.22788670461367355,1.1699681739968923,0.07554696139253074,0.0,0.0,0.9263424466256551,0.012837224705172217,0.0,0.02530586526477026,1.3220124385824004,0.0,1.2794387882870204,0.04532297878665747,0.0,0.13353890837021748,0.0,0.0,0.0,0.0,0.12385164096708583,0.2695129442179163,0.8915374576725645,0.008600171761917567,0.01703333929878037,0.3443922736851107,0.0,0.0,0.0,0.0,0.021189299069938092,0.0,0.0,1.0417873189717517,0.0,0.31386722036915343,0.0,0.0,1.7511250715355835
03H024,0.10720996964786837,0.0,0.008600171761917567,0.008600171761917567,0.30749603791321295,0.6334684555795865,0.0,1.1306553490220306,0.05307844348341968,0.0,0.03742649794062367,0.0,0.12710479836480765,1.0346284566253203,0.021189299069938092,0.0,0.0,1.049605612594973,0.02530586526477026,0.0,0.0,0.3820170425748684,0.0,1.3408405498123317,0.05307844348341968,0.0,0.09342168516223506,0.0,0.01703333929878037,0.0,0.0,0.0,0.06069784035361165,1.4511721575125398,0.0,0.0,0.320146286111054,0.0,0.0,0.029383777685209667,0.11058971029924897,0.0,0.10380372095595687,0.08990511143939793,0.7693773260761385,0.0,1.2713768718940746,0.0,0.0,1.4336098433237183
03H028,0.04532297878665747,0.0,0.0,0.021189299069938092,0.22788670461367355,0.8561244442423004,0.03742649794062367,0.7218106152125465,0.13353890837021748,0.012837224705172217,0.012837224705172217,0.07188200730612536,0.6020599913279624,0.6812412373755872,0.021189299069938092,0.0,0.0,1.220631019448092,0.008600171761917567,0.0,0.0,0.029383777685209667,0.0,2.4135344544311423,0.02530586526477026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3926969532596657,1.0293837776852097,0.0,0.0,0.6884198220027106,0.0,0.0,0.271841606536499,0.04921802267018165,0.0,0.05307844348341968,0.0,0.912753303671323,0.19865708695442263,0.08990511143939793,0.008600171761917567,0.0,1.2412973871099933
03H033,0.012837224705172217,0.0,0.008600171761917567,0.10380372095595687,0.18752072083646307,0.7307822756663892,0.012837224705172217,0.8260748027008264,0.17609125905568124,0.0,0.08635983067474821,0.0,0.2741578492636798,0.6106601630898799,0.01703333929878037,0.01703333929878037,0.0,1.269746373130767,0.01703333929878037,0.0,0.0,0.008600171761917567,0.008600171761917567,0.7323937598229685,0.06069784035361165,0.0,0.04139268515822507,0.0,0.008600171761917567,0.012837224705172217,0.008600171761917567,0.1553360374650618,0.17897694729316943,1.3519894554356322,0.0,0.02530586526477026,0.36361197989214433,0.03742649794062367,0.0,0.09691001300805642,0.008600171761917567,0.0,0.06818586174616162,0.0,0.7649229846498885,0.01703333929878037,0.04532297878665747,0.0,0.0,1.2571984261393445
03H036,0.11394335230683678,0.0,0.0,0.008600171761917567,0.30749603791321295,0.9489017609702137,0.004321373782642578,1.4315245841874509,0.2966651902615311,0.0,0.02530586526477026,0.0,0.0,0.5538830266438743,0.056904851336472634,0.0,0.0,1.0659529803138696,0.008600171761917567,0.0,0.0,0.7774268223893114,0.0,1.1723109685219542,0.029383777685209667,0.02530586526477026,0.1367205671564068,0.0,0.008600171761917567,0.0,0.0,0.07918124604762482,0.25527250510330607,1.1099158630237933,0.0,0.03742649794062367,0.36172783601759284,0.0,0.0,0.46089784275654777,0.02530586526477026,0.0,0.0,0.07188200730612536,1.2113875529368587,0.012837224705172217,0.03742649794062367,0.0,0.0,1.696967640744023
03H041,0.004321373782642578,0.0,0.01703333929878037,0.004321373782642578,0.24054924828259971,0.7458551951737289,0.021189299069938092,0.9339931638312423,0.1430148002540951,0.0,0.01703333929878037,0.0,0.11058971029924897,0.9196010237841109,0.021189299069938092,0.0,0.0,1.055378331375,0.004321373782642578,0.0,0.0,0.029383777685209667,0.0,1.5017437296279945,0.02530586526477026,0.0,0.05307844348341968,0.0,0.004321373782642578,0.0,0.0,0.0,0.10380372095595687,1.0603200286882852,0.0,0.008600171761917567,0.2671717284030138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0637085593914175,0.0,0.029383777685209667,0.0,0.0,1.426836453803508
03H052,0.012837224705172217,0.0,0.0,0.004321373782642578,0.06069784035361165,0.5740312677277188,0.05307844348341968,0.8633228601204559,0.08278537031645007,0.0,0.029383777685209667,0.271841606536499,0.03742649794062367,1.1883659260631483,0.004321373782642578,0.0,0.0,0.9074113607745862,0.029383777685209667,0.0,0.008600171761917567,0.06069784035361165,0.004321373782642578,1.8557613723399478,0.02530586526477026,0.0,0.02530586526477026,0.0,0.008600171761917567,0.004321373782642578,0.0,0.03342375548694973,0.04139268515822507,1.0111473607757975,0.012837224705172217,0.008600171761917567,0.19589965240923368,0.0,0.0,0.0,0.004321373782642578,0.0,0.0,0.06069784035361165,0.7737864449811935,0.008600171761917567,0.029383777685209667,0.0,0.0,1.5089335260500327
03H060,0.008600171761917567,0.0,0.004321373782642578,0.004321373782642578,0.2787536009528289,0.37474834601010387,0.029383777685209667,0.7626785637274363,0.07554696139253074,0.0,0.01703333929878037,0.0,0.12710479836480765,0.5587085705331657,0.03742649794062367,0.0,0.0,0.8014037100173551,0.012837224705172217,0.0,0.0,0.5105450102066121,0.0,2.9901967310910362,0.01703333929878037,0.0,0.01703333929878037,0.11727129565576427,0.004321373782642578,0.0,0.0,0.04532297878665747,0.01703333929878037,0.5453071164658241,0.0,0.0,0.18184358794477254,0.0,0.0,0.0,0.8603380065709937,0.008600171761917567,0.17026171539495738,0.0,0.5865873046717549,0.004321373782642578,0.04532297878665747,0.0,0.0,1.165541076722373
03H065,0.08990511143939793,0.0,0.0,0.04921802267018165,0.5185139398778874,0.8273692730538252,0.012837224705172217,0.7979596437371961,0.23299611039215382,0.0,0.021189299069938092,0.10720996964786837,0.06445798922691845,0.3729120029701066,0.06818586174616162,0.0,0.10380372095595687,1.2474822606770544,0.012837224705172217,0.0,0.01703333929878037,0.0,0.0,0.6739419986340879,0.04139268515822507,0.0,0.08635983067474821,0.0,0.0,0.008600171761917567,0.0,0.17026171539495738,0.146128035678238,1.2119210843085093,0.0,0.004321373782642578,0.3283796034387377,0.0,0.0,0.0,0.0,0.0,0.15836249209524964,0.10037054511756291,0.7986506454452689,0.0,0.10720996964786837,0.0,0.0,1.669967369908504
03H067,0.02530586526477026,0.0,0.021189299069938092,0.012837224705172217,0.17318626841227402,0.9661417327390326,0.012837224705172217,0.8733206018153987,0.11058971029924897,0.012837224705172217,0.03742649794062367,0.23804610312879543,0.03742649794062367,1.2327420627207368,0.04532297878665747,0.0,0.0,1.055378331375,0.04532297878665747,0.012837224705172217,0.0,0.008600171761917567,0.0,1.338854746252323,0.07188200730612536,0.0,0.12385164096708583,0.0,0.0,0.0,0.0,0.14921911265537988,0.29885307640970665,0.9885589568786155,0.0,0.008600171761917567,0.271841606536499,0.0,0.0,0.09342168516223506,0.004321373782642578,0.0,0.08278537031645007,0.0,0.8432327780980093,0.004321373782642578,1.248463717551032,0.0,0.0,1.5908418347816027
