,RAC1P9,ZNF138,KRT90P,SLC1A1,AL135923.2,BOLA3_AS1,AC011731.1,AC064807.2,FAM160B2,RN7SL395P,NOP9,ANKRD20A18P,TSEN54,CEP170P1,HNRNPA2B1,AC009779.4,ZNF143,AC011239.2,AC113410.5,AC027097.1,AKR7A2P1,SAP18P1,ADCYAP1,RN7SKP57,KCNK12,AC080188.1,COX4I1,LINC01134,NUTM2A,RPLP1P11,JMJD8,DNAJB5,U62317.4,HTR2B,AL022476.1,LY6H,WFDC11,ACTR10,NPL,AL365205.4,BCAR1P2,SPRR5,RIC1,MARCH10_DT,OR2A4,MTCO3P11,AC008742.1,PAX9,SALL2,AC020655.1
02H053,0.0,0.3364597338485295,1.3236645356081003,0.0,0.11727129565576427,0.0,0.0,1.2711443179490782,0.07918124604762482,0.0,0.03742649794062367,0.004321373782642578,1.5962671263955153,0.0,0.05307844348341968,0.0,0.09342168516223506,0.0,0.02530586526477026,0.0,0.0,0.0,0.0,0.8027737252919757,0.0,0.06445798922691845,1.4310419453358856,0.0,1.3935752032695876,0.0,0.34044411484011833,0.0,1.286456469746983,0.0,0.8267225201689921,0.5403294747908738,0.0,0.04921802267018165,0.8597385661971468,0.34044411484011833,0.0,1.9604232070778296,0.03742649794062367,0.0,0.004321373782642578,0.5786392099680724,0.07188200730612536,0.0,0.989894563718773,3.0497876604346175
02H066,0.0,0.33041377334919075,1.583538819254352,0.004321373782642578,0.11727129565576427,0.0,0.0,1.3843534141375062,0.0,0.0,0.03342375548694973,0.021189299069938092,1.576916955965207,0.0,0.01703333929878037,0.0,0.06445798922691845,0.0,0.021189299069938092,0.0,0.0,0.0,0.0,0.9542425094393249,0.0,0.09342168516223506,1.4671639659690903,0.0,1.359835482339888,0.0,0.4756711883244297,0.008600171761917567,1.2780673308886625,0.004321373782642578,0.9355072658247129,0.6020599913279624,0.012837224705172217,0.10720996964786837,1.0285712526925377,0.20951501454263097,0.0,2.1616973421081176,0.07188200730612536,0.0,0.021189299069938092,0.9513375187959178,0.0,0.0,1.3794868137172738,3.231482333626407
03H016,0.0,0.3096301674258988,1.7992716083498728,0.0,0.06069784035361165,0.0,0.0,1.4302363534115106,0.28330122870354957,0.0,0.056904851336472634,0.0,1.8795546009389743,0.0,0.18752072083646307,0.0,0.10720996964786837,0.0,0.0,0.0,0.01703333929878037,0.0,0.0,1.0107238653917732,0.0,0.19865708695442263,1.3380578754197563,0.008600171761917567,2.1327078448554477,0.0,0.34044411484011833,0.08635983067474821,1.5041989185394449,0.0,0.6074550232146685,0.9912260756924949,0.021189299069938092,0.06818586174616162,1.0707764628434346,0.6857417386022636,0.01703333929878037,2.1312014900262333,0.4082399653118496,0.0,0.0,0.8555191556678001,0.05307844348341968,0.0,1.106870544478654,2.91301868374796
03H022,0.0,0.8981764834976765,1.5154764413823758,0.0,0.10380372095595687,0.0,0.0,1.2960066693136723,0.22010808804005513,0.0,0.06445798922691845,0.07918124604762482,2.041392685158225,0.0,0.416640507338281,0.0,0.13033376849500614,0.0,0.01703333929878037,0.0,0.04139268515822507,0.0,0.0,1.0937717814987298,0.0,0.7299742856995556,1.6146863422820126,0.0,2.0331019366638476,0.0,0.5301996982030822,0.11058971029924897,1.4560622244549515,0.0,1.1099158630237933,1.1826999033360426,0.0,0.07188200730612536,1.0207754881935578,0.5118833609788744,0.0,2.1774787825423223,0.921686475483602,0.0,0.0,1.064083435963596,0.0,0.0,1.1878026387184193,3.342975067809245
03H024,0.0,0.9180303367848802,1.1152775913959014,0.008600171761917567,0.17609125905568124,0.0,0.0,1.160168292958512,0.06069784035361165,0.0,0.06818586174616162,0.056904851336472634,1.9601852766046108,0.03342375548694973,0.0,0.0,0.07188200730612536,0.0,0.0,0.0,0.0,0.0,0.0,1.146128035678238,0.0,0.4014005407815441,1.1261314072619844,0.0,1.5585885831081994,0.0,0.1553360374650618,0.24551266781414982,1.5312233745330268,0.0,1.1176026916900843,0.5865873046717549,0.0,0.10380372095595687,0.8904210188009143,0.2695129442179163,0.0,2.053808059920658,0.39093510710337914,0.0,0.004321373782642578,1.0603200286882852,0.0,0.0,1.449478399187365,3.611237773671161
03H028,0.0,0.4593924877592308,1.5116160205691378,0.0,0.1205739312058499,0.008600171761917567,0.0,1.1010593549081156,0.24303804868629442,0.0,0.0,0.021189299069938092,1.2054750367408908,0.021189299069938092,0.0,0.0,0.146128035678238,0.0,0.008600171761917567,0.0,0.0,0.0,0.01703333929878037,0.8444771757456815,0.0,0.17026171539495738,1.3246939138617746,0.0,1.5607433010547118,0.0,0.2528530309798932,0.9415114326344031,1.3005954838899636,0.0,0.8825245379548805,0.5797835966168101,0.0,0.01703333929878037,1.276461804173244,0.22788670461367355,0.012837224705172217,2.3441170678303105,0.16731733474817606,0.0,0.012837224705172217,0.9547247909790629,0.0,0.008600171761917567,1.7789467279686169,3.0280870780006506
03H033,0.012837224705172217,0.292256071356476,1.5712428505602238,0.004321373782642578,0.24797326636180664,0.004321373782642578,0.0,1.1693804953119495,0.03742649794062367,0.0,0.02530586526477026,0.029383777685209667,1.6464037262230695,0.0,0.029383777685209667,0.004321373782642578,0.04532297878665747,0.008600171761917567,0.04921802267018165,0.0,0.0,0.008600171761917567,0.0,0.9523080096621253,0.0,0.48000694295715063,1.2875778090787053,0.021189299069938092,1.555578072772955,0.008600171761917567,0.4578818967339924,0.012837224705172217,1.1667260555800518,0.004321373782642578,0.7867514221455612,0.4517864355242902,0.0,0.10037054511756291,1.130333768495006,0.4409090820652177,0.0,2.0981589834605336,0.18184358794477254,0.08990511143939793,0.012837224705172217,0.9079485216122722,0.04139268515822507,0.008600171761917567,1.5844443071651761,3.091793535110372
03H036,0.0,0.6848453616444125,1.6869935662646784,0.0,0.20951501454263097,0.021189299069938092,0.0,1.5085297189712865,0.11058971029924897,0.0,0.06818586174616162,0.06818586174616162,1.8991088581933995,0.0,0.029383777685209667,0.0,0.17609125905568124,0.0,0.021189299069938092,0.0,0.02530586526477026,0.0,0.0,1.4084095784684296,0.0,0.403120521175818,1.5121505369220305,0.0,1.7414667617697548,0.0,0.5965970956264602,0.09342168516223506,1.5027001753105629,0.0,1.030599721965951,0.9523080096621253,0.0,0.13987908640123647,1.0572856444182146,0.6570558528571039,0.029383777685209667,1.9337402994969353,0.9334872878487055,0.10380372095595687,0.04532297878665747,1.2533380053261065,0.03342375548694973,0.0,1.2410481506716444,3.379622736043323
03H041,0.0,0.3856062735983121,1.5901728315963144,0.0,0.07918124604762482,0.0,0.0,1.2234959409623944,0.42488163663106704,0.0,0.02530586526477026,0.0,1.7899330809317504,0.0,0.021189299069938092,0.0,0.07188200730612536,0.0,0.008600171761917567,0.0,0.0,0.0,0.0,0.9818186071706636,0.0,0.1430148002540951,1.6315452278343094,0.0,1.8375884382355112,0.0,0.49554433754644844,0.021189299069938092,1.2753113545418118,0.0,1.0402066275747113,0.5453071164658241,0.03742649794062367,0.04139268515822507,0.9503648543761231,0.41995574848975786,0.0,2.0707764628434346,0.07554696139253074,0.0,0.01703333929878037,0.8388490907372553,0.146128035678238,0.008600171761917567,1.334252642334231,2.9446257683455586
03H052,0.0,0.36361197989214433,1.7788744720027396,0.008600171761917567,0.04921802267018165,0.0,0.0,1.19506899646859,0.16731733474817606,0.0,0.029383777685209667,0.004321373782642578,2.017409008536211,0.008600171761917567,0.06445798922691845,0.0,0.08278537031645007,0.0,0.03342375548694973,0.004321373782642578,0.012837224705172217,0.0,0.0,0.8115750058705934,0.0,0.4471580313422192,1.3469394626989906,0.004321373782642578,1.9779064276371183,0.0,0.34830486304816066,0.03342375548694973,1.2397998184470986,0.004321373782642578,0.72916478969277,0.8075350280688532,0.22010808804005513,0.008600171761917567,0.8419848045901139,0.4014005407815441,0.012837224705172217,1.9706722426897194,0.3053513694466238,0.0,0.0,0.6454222693490919,0.0,0.008600171761917567,1.0755469613925308,2.927010868975651
