,AL158141.1,AC109486.3,CAP2P1,TMEM179,ZMIZ2,AP001187.1,NFIA_AS2,AC069214.1,EIF6,AC015802.3,PGF,FOXK1,AC091982.1,HTATIP2,RORA_AS2,Y_RNA,AC097359.2,SNRPCP4,ATG4B,RRM2,LINC02332,HIST1H2BPS2,CDK2AP2P2,AP006248.5,SCARF1,VCPKMT,AP000867.1,AC009118.2,AC026898.1,PRPF38B,HOXB_AS1,PIWIL4,RNA5SP454,COX7BP2,DPPA4,AP003080.1,PRAMEF27,C3orf79,CCNDBP1,RNA5SP268,ARRDC1_AS1,AL096701.1,AC092306.1,CIR1P3,WASH9P,PSEN2,AC004623.1,AL031728.1,AC135782.3,BX649632.1
02H053,1.137670537236755,0.04532297878665747,0.0,0.0,0.0,0.0,0.004321373782642578,0.08990511143939793,0.0,0.012837224705172217,0.021189299069938092,0.004321373782642578,0.6884198220027106,0.8382192219076258,0.0,0.0,0.0,2.678381786970454,0.008600171761917567,1.2511513431753545,0.8169038393756602,1.1992064791616577,0.004321373782642578,0.0,0.7160033436347992,0.0,0.03342375548694973,0.03342375548694973,0.7160033436347992,0.04532297878665747,0.004321373782642578,0.3424226808222063,0.0,1.3789426986134374,0.0,0.0,0.8260748027008264,0.7817553746524689,2.307538823439271,1.832381160247041,0.2576785748691845,0.0,0.021189299069938092,0.0,0.0,1.1922886125681202,0.0,0.0,0.17026171539495738,0.0
02H066,1.4225898398514822,0.03742649794062367,0.0,0.0,0.0,0.11727129565576427,0.03342375548694973,0.06445798922691845,0.0,0.0,0.03342375548694973,0.004321373782642578,0.5693739096150459,0.8267225201689921,0.0,0.0,0.0,2.7341755326643207,0.008600171761917567,1.5425764762605296,1.3651134316275773,1.2402995820027125,0.004321373782642578,0.0,0.7881683711411677,0.0,0.04921802267018165,0.08635983067474821,1.4056877866727775,0.12385164096708583,0.008600171761917567,0.3010299956639812,0.0,1.1212314551496214,0.0,0.0,0.8481891169913987,0.557507201905658,2.0481697987660175,1.8548523624178341,0.0,0.0,0.01703333929878037,0.02530586526477026,0.0,1.1442627737619906,0.0,0.0,0.17897694729316943,0.0
03H016,1.817036226050029,0.11727129565576427,0.0,0.0,0.0,0.0,0.056904851336472634,0.03742649794062367,0.0,0.004321373782642578,0.01703333929878037,0.0,0.3364597338485295,1.1458177144918276,0.0,0.0,0.0,2.2650537885040145,0.008600171761917567,1.7218106152125465,1.1690863574870227,1.3583156400821959,0.0,0.0,0.9722028383790645,0.0,0.0,0.3096301674258988,0.9609461957338314,0.07188200730612536,0.0,0.6522463410033232,0.07554696139253074,1.7528931548845939,0.0,0.0,0.9258275746247423,0.5010592622177514,2.4847979243318843,1.7206553565517244,0.03342375548694973,0.0,0.012837224705172217,0.021189299069938092,0.0,1.1199154102579911,0.0,0.0,0.5502283530550941,0.0
03H022,1.1228709228644356,0.07554696139253074,0.0,0.0,0.0,0.0,0.05307844348341968,0.09691001300805642,0.0,0.008600171761917567,0.0,0.0,0.41161970596323016,1.2648178230095364,0.0,0.012837224705172217,0.0,2.6291750575404063,0.008600171761917567,1.5912872650584993,0.0,1.3197304943302246,0.029383777685209667,0.0,1.4092566520389096,0.10037054511756291,0.0,0.7379873263334308,0.43933269383026263,0.05307844348341968,0.0,0.800717078282385,0.08635983067474821,1.9494875899465036,0.012837224705172217,0.0,0.7986506454452689,0.41161970596323016,2.7459097709432467,1.9499751778296537,0.0,0.02530586526477026,0.012837224705172217,0.0,0.0,1.3805730030668872,0.0,0.03342375548694973,0.7403626894942439,0.0
03H024,1.537063142781617,0.012837224705172217,0.0,0.0,0.0,0.0,0.008600171761917567,0.11058971029924897,0.0,0.0,0.021189299069938092,0.0,1.0293837776852097,0.9206450014067876,0.0,0.0,0.0,2.3711602555242712,0.0,1.3356584522893016,1.2659963704950792,1.2284003587030048,0.01703333929878037,0.0,1.065206128054312,0.0,0.0,0.1553360374650618,0.3010299956639812,0.6637009253896481,0.008600171761917567,0.7759743311293691,0.03342375548694973,1.3508292735829677,0.0,0.0,0.7767011839884108,0.34830486304816066,2.432568465297358,1.7603470785299065,0.056904851336472634,0.029383777685209667,0.008600171761917567,0.04921802267018165,0.0,1.284881714655453,0.0,0.008600171761917567,0.11394335230683678,0.0
03H028,1.1274287778515988,0.008600171761917567,0.0,0.0,0.0,0.0,0.004321373782642578,0.029383777685209667,0.01703333929878037,0.6180480967120927,0.05307844348341968,0.0,0.18752072083646307,0.9222062774390164,0.0,0.029383777685209667,0.0,2.3403647844020674,0.004321373782642578,1.7374312005145824,0.541579243946581,0.8597385661971468,0.004321373782642578,0.0,1.4404367661057738,0.0,0.04139268515822507,0.8129133566428556,1.3360592778663494,0.20951501454263097,0.004321373782642578,0.3729120029701066,0.0,1.2579184503140584,0.0,0.0,0.741151598851785,0.23804610312879543,1.797198269838959,1.638189640190837,0.0,0.0,0.146128035678238,0.0,0.0,1.6575338875579861,0.0,0.0,0.22010808804005513,0.0
03H033,1.4917817755841658,0.02530586526477026,0.0,0.0,0.0,0.0,0.06445798922691845,0.07918124604762482,0.0,0.029383777685209667,0.03742649794062367,0.01703333929878037,0.6599162000698503,0.8948696567452525,0.02530586526477026,0.008600171761917567,0.0,2.4945302632558732,0.012837224705172217,1.5112147011363881,1.1684974835230326,1.1448854182871424,0.012837224705172217,0.0,0.9439888750737718,0.021189299069938092,0.056904851336472634,0.11394335230683678,0.9818186071706636,0.11394335230683678,0.004321373782642578,0.5198279937757188,0.012837224705172217,1.5229655954919865,0.004321373782642578,0.0,0.9370161074648142,0.6748611407378116,2.2064210652379885,1.739809599021359,0.008600171761917567,0.0,0.029383777685209667,0.07188200730612536,0.0,1.0867156639448825,0.008600171761917567,0.0,0.5352941200427705,0.0
03H036,1.8247114434647345,0.06069784035361165,0.0,0.0,0.0,0.18752072083646307,0.008600171761917567,0.0,0.0,0.0,0.029383777685209667,0.0,1.6180480967120927,1.4168068718229445,0.0,0.012837224705172217,0.0,2.451356532162689,0.029383777685209667,1.5138831856110928,0.5440680443502757,1.7564839644426093,0.04532297878665747,0.0,1.1024337056813363,0.0,0.0,0.17318626841227402,0.4329692908744057,0.2695129442179163,0.01703333929878037,0.69284691927723,0.12710479836480765,1.5949447366950833,0.0,0.0,1.0755469613925308,0.3521825181113625,2.869654071089254,2.069483093934611,0.11058971029924897,0.07554696139253074,0.06818586174616162,0.02530586526477026,0.0,1.5308397786165204,0.0,0.03342375548694973,0.28103336724772754,0.0
03H041,1.2650537885040147,0.06069784035361165,0.0,0.0,0.0,0.06445798922691845,0.08278537031645007,0.05307844348341968,0.0,0.01703333929878037,0.02530586526477026,0.0,0.5092025223311029,0.9781805169374139,0.0,0.0,0.0,2.63033632789824,0.0,1.4705574852172743,1.1925674533365456,1.2571984261393445,0.004321373782642578,0.0,1.0257153839013406,0.0,0.0,0.08990511143939793,0.8215135284047732,0.05307844348341968,0.0,0.6464037262230695,0.008600171761917567,1.2960066693136723,0.0,0.0,1.0625819842281632,0.7168377232995244,2.289254408054181,1.8271753482986928,0.10037054511756291,0.0,0.02530586526477026,0.0,0.0,1.3057811512549822,0.0,0.01703333929878037,0.2148438480476979,0.0
03H052,1.1931245983544616,0.01703333929878037,0.0,0.0,0.0,0.0,0.04139268515822507,0.05307844348341968,0.0,0.07188200730612536,0.0,0.004321373782642578,0.5263392773898441,0.9781805169374139,0.0,0.0,0.0,2.3363396358207824,0.01703333929878037,1.531095546870028,1.1085650237328344,1.269746373130767,0.004321373782642578,0.004321373782642578,0.9890046156985368,0.008600171761917567,0.01703333929878037,0.1205739312058499,0.4065401804339551,0.06445798922691845,0.0,0.5854607295085006,0.12385164096708583,1.7599698575543072,0.0,0.0,1.0884904701823963,0.6053050461411094,2.08703566480566,1.8285954563717024,0.02530586526477026,0.0,0.04139268515822507,0.0,0.0,1.0817072700973491,0.0,0.0,0.22788670461367355,0.0
