,AL731563.3,OFD1P18Y,CNTF,RBM17P1,RPSAP62,AC025259.1,IKZF1,FAM189A2,APBA1,MLEC,AL355877.3,CYB5RL,CACNA1A,VPS13A,RPS23P6,BANP,ZNF627
03H065,0.18752072083646307,0.0,0.0,1.0461047872460387,0.6998377258672457,0.0,0.0,0.0,2.0653929615619915,0.0,0.0,1.4300750555519393,0.0,0.0,0.08635983067474821,0.5024271199844327,0.10380372095595687
03H067,0.08278537031645007,0.0,0.0,0.9360107957152095,1.0038911662369105,0.04921802267018165,0.0,0.0,1.9535180814449926,0.0,0.0,1.506505032404872,0.0,0.0,0.008600171761917567,0.5563025007672873,0.05307844348341968
03H070,0.6812412373755872,0.0,0.0,1.0453229787866574,1.4996870826184039,0.0,0.0,0.0,2.203658299456247,0.0,0.0,1.3821972103774536,0.008600171761917567,0.0,0.0,0.5599066250361124,0.03342375548694973
03H081,0.9390197764486665,0.0,0.0,1.2390490931401914,1.1872386198314788,0.07918124604762482,0.0,0.0,2.087887849492933,0.0,0.0,1.5663196215248114,0.008600171761917567,0.0,0.0,0.8597385661971468,0.13353890837021748
03H090,0.2528530309798932,0.0,0.0,0.9304395947667001,0.7803173121401513,0.021189299069938092,0.0,0.0,1.7635777244666453,0.0,0.0,1.469232742506612,0.0,0.0,0.0,0.7993405494535817,0.07188200730612536
03H095,0.03342375548694973,0.0,0.0,0.9294189257142927,1.0888445627270043,0.0,0.0,0.0,2.19122738187401,0.0,0.0,1.7327153403499929,0.012837224705172217,0.0,0.0,0.416640507338281,0.01703333929878037
03H109,0.3096301674258988,0.0,0.0,1.0346284566253203,1.2049335223541449,0.09342168516223506,0.0,0.0,2.1564885760500174,0.0,0.0,1.5524248457040855,0.021189299069938092,0.0,0.0,0.5854607295085006,0.07918124604762482
03H112,0.38021124171160603,0.0,0.0,0.8095597146352678,1.0534626049254554,0.07188200730612536,0.0,0.0,2.0860749539955252,0.0,0.0,1.2425414282983842,0.008600171761917567,0.0,0.0,0.5185139398778874,0.10037054511756291
03H116,0.6354837468149122,0.0,0.0,1.1248301494138593,1.4072208929273966,0.0,0.0,0.0,2.0091958535195213,0.0,0.0,1.7107095657243372,0.04532297878665747,0.421603926869831,0.0,0.9350031514536548,0.06818586174616162
03H119,0.1643528557844371,0.0,0.0,0.7678976160180907,1.0591846176313713,0.056904851336472634,0.0,0.0,2.0888799561080518,0.0,0.0,1.507855871695831,0.0,0.0,0.0,0.6354837468149122,0.1931245983544616
04H006,0.3053513694466238,0.0,0.0,0.8450980400142568,0.8767949762007006,0.021189299069938092,0.0,0.0,1.9197577805018942,0.0,0.0,1.3588862044058692,0.0,0.0,0.012837224705172217,0.8457180179666586,0.03742649794062367
04H024,0.2764618041732442,0.0,0.004321373782642578,0.9444826721501687,1.0409976924234905,0.06069784035361165,0.0,0.0,1.9116369331294423,0.0,0.0,1.5138831856110928,0.021189299069938092,0.0,0.0,0.6020599913279624,0.012837224705172217
04H025,0.5611013836490559,0.0,0.0,1.1395642661758498,1.2166935991697543,0.021189299069938092,0.0,0.0,2.0584260244570056,0.0,0.0,1.6566730458848502,0.08635983067474821,0.0,0.012837224705172217,0.670245853074124,0.056904851336472634
04H030,0.250420002308894,0.0,0.0,1.0301947853567512,1.2108533653148932,0.0,0.0,0.0,2.0133850177496853,0.0,0.0,1.652149605401653,0.021189299069938092,0.0,0.012837224705172217,0.5658478186735176,0.14921911265537988
04H039,0.08635983067474821,0.0,0.0,0.9052560487484512,0.7015679850559274,0.0,0.0,0.0,1.8516252031533091,0.0,0.0,2.1007495256898596,0.0,0.9731278535996987,0.0,0.0,0.03742649794062367
04H041,0.008600171761917567,0.0,0.0,1.0499928569201427,1.0457140589408676,0.021189299069938092,0.0,0.0,1.8872796345300231,0.0,0.0,1.4650852875574327,0.012837224705172217,0.0,0.0,0.557507201905658,0.012837224705172217
04H048,0.13353890837021748,0.0,0.0,1.1241780554746752,0.8579352647194289,0.02530586526477026,0.0,0.0,1.7823292689968369,0.0,0.0,1.599992177584098,0.02530586526477026,0.0,0.0,0.8790958795000727,0.16731733474817606
04H050,0.37839790094813763,0.0,0.0,1.0132586652835165,0.9845273133437926,0.012837224705172217,0.0,0.0,2.0025979807199086,0.0,0.0,1.9319153170812462,0.004321373782642578,0.0,0.01703333929878037,0.44404479591807633,0.021189299069938092
04H054,0.4623979978989561,0.0,0.0,0.7363965022766424,0.7151673578484579,0.08278537031645007,0.0,0.012837224705172217,1.9581336756762353,0.0,0.0,1.5238764756381313,0.008600171761917567,0.0,0.0,0.359835482339888,0.012837224705172217
04H061,0.34830486304816066,0.0,0.0,0.9344984512435677,0.8937617620579434,0.021189299069938092,0.0,0.0,1.834865579900038,0.0,0.0,1.4824447919182653,0.008600171761917567,0.0,0.06445798922691845,0.5440680443502757,0.15836249209524964
04H063,0.5490032620257879,0.0,0.0,1.0681858617461617,0.8621313793130372,0.03342375548694973,0.0,0.0,1.9522595365908204,0.0,0.0,1.7580030092997991,0.01703333929878037,0.0,0.07918124604762482,0.5237464668115644,0.02530586526477026
04H068,0.13987908640123647,0.0,0.0,1.404149249209695,1.0927206446840991,0.0,0.0,0.0,1.9524049395770244,0.0,0.0,1.6939906104607767,0.008600171761917567,0.0,0.06069784035361165,0.8260748027008264,0.04139268515822507
04H078,0.2764618041732442,0.0,0.004321373782642578,1.0644579892269186,0.9867717342662448,0.0,0.0,0.0,1.893928126542607,0.0,0.0,1.6742179455767,0.0,0.0,0.012837224705172217,0.6095944092252201,0.09342168516223506
04H080,0.07554696139253074,0.0,0.0,0.9395192526186185,1.1172712956557642,0.08635983067474821,0.0,0.0,2.1185292575317396,0.0,0.0,1.5455545072340648,0.03342375548694973,0.0,0.06069784035361165,0.3979400086720376,0.0
