,ENSG00000174059,ENSG00000138722,ENSG00000113657,ENSG00000105810,ENSG00000104341,ENSG00000196139,ENSG00000128805,ENSG00000134531,ENSG00000120833,ENSG00000205978,ENSG00000277988,ENSG00000261633,ENSG00000095932,ENSG00000088882,ENSG00000088305,ENSG00000130584,ENSG00000238049
06H133,5.766511320689683,4.382335835444923,0.5211166918228066,5.558647255938357,4.077659193119726,1.9814095203709017,0.6760567082584201,2.813977155195,6.281457758536444,2.724330174323608,0.0,0.4629168560184466,4.352738879866914,5.3218717835903755,2.7654601925215045,2.2079262067633185,0.0
06H144,0.34674015720637263,0.784390142067619,3.9964297905684005,5.1525584934170805,1.7422520703132152,0.6757187594976654,1.9330739384497295,4.971650685947882,0.9513760324826266,1.2392483714349865,0.0,0.6781138793408691,4.949058547332346,5.5627018029454565,2.9413517092147763,2.4564704704225155,0.0
06H146,3.150055745622307,2.715478392196514,1.9578294294077816,4.483568798789017,3.21572590894097,1.5114953497057355,0.806500910024488,3.851226807385745,4.839375694505155,1.3919291074461875,0.0,0.5693615052010773,3.311945617129175,4.946240011301418,2.9268734275480544,2.4633837109986834,0.0
06H151,5.839123055038643,3.751709001823706,2.9203543160106884,4.993002401527283,3.040817365219252,1.4951587181418204,2.3210712903369113,5.337261938400592,2.1829439667696664,1.846636301431096,0.16703297179518956,0.0,5.6537182942007345,5.728681776669441,1.477635601819843,1.0178078076819506,0.1263234317719756
07H003,0.8777281123135678,3.1284254792867374,0.16139511483773564,3.905410332027791,2.1368604374726456,0.4793647786799808,1.1358567656218606,2.653100132794143,3.1367897370738245,2.4884629131883416,0.0,0.0,3.2463103491218317,4.080748763141857,2.3439669714953153,1.7183050007234832,0.0
07H005,3.1090109071262426,4.107457952410284,3.0027823089044507,5.647454242852744,5.999696590974402,2.397865517071243,3.471468583742465,3.9743194563343605,3.89296925088351,4.149900702842849,0.0,0.9678767966430643,4.651420957852602,6.0907132468762315,4.658692568631213,2.7034922708930647,0.0
07H009,0.10981864434666683,1.8281093951512175,0.5537580979040442,4.006715518456565,1.8987962458159449,0.403167376142287,2.1730604119822967,4.4556352255033245,1.1583007057782306,0.9512023766311716,0.0,0.0,2.5411812981231816,4.161533885323737,1.9713566394756088,0.8097217650133156,0.0
07H019,0.21398745804558267,2.427860382829,0.8432568979368362,4.358262117705305,2.2665592261879355,0.5676265084119538,1.4898023898301294,2.5361131601993483,1.4206676347668534,2.348801572072791,0.0,0.0,3.9083864133182162,4.718428447615446,2.8811472146001056,1.5882223005050522,0.0
07H020,5.806062686226677,2.8751938439465023,0.715376863063365,5.605502688850077,1.9008110806328293,1.6294912194833793,0.3354417261941811,3.0634366613216537,1.315056141611192,2.4103967038413456,0.0,0.04789747882908065,5.082375309026475,5.0395396206985295,2.9601032080459717,2.339679176090002,0.0
07H024,2.672801853973708,1.9817257873289662,0.471733307548601,3.148694730514679,3.3696468349921256,0.5636291905640181,1.805160189999189,1.6855306095494642,2.0249209999224216,1.5148983255002726,0.0,0.0,2.4993731374954264,3.629992217235617,2.2296693201115922,1.1433890783376746,0.0
07H034,4.857867076938238,3.267260619540034,3.391887340050248,3.9909860943741062,5.3695406769243865,1.415156797432515,2.616151422654309,4.262118013813483,2.719119103815819,2.188457876833993,0.0,0.7337070843099567,4.740416462423026,5.3734826737436485,3.190785956720237,1.7039885458339665,0.0
