,AMMECR1L,TMA7,ANGPTL7,CYP2AB1P,LINC01966,CREB3,AL078582.2,AC027277.2,AC135507.1,RPS21P4,HEPACAM,LSINCT5,AC008764.9,SINHCAFP2,CMTM2,CDCA7,SLCO2B1
04H103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04H108,2.233376903473896,0.0,1.5349141044298669,0.1846914308175988,0.0,0.012837224705172217,2.6454419202385275,0.004321373782642578,0.012837224705172217,0.0,0.0,0.0,0.0,0.5831987739686227,1.2076343673889616,0.359835482339888,0.49692964807321494
04H112,2.30612467073653,0.012837224705172217,1.3769417571467586,0.07554696139253074,0.0,0.0,2.205907762627386,0.056904851336472634,0.008600171761917567,0.012837224705172217,0.0,0.004321373782642578,0.004321373782642578,0.3159703454569178,1.0685568950723632,0.5327543789924978,1.0017337128090005
04H117,1.9428014663179405,0.04532297878665747,1.2234959409623944,0.06069784035361165,0.0,0.0,2.3234377445895857,0.0,0.0,0.012837224705172217,0.0,0.01703333929878037,0.0,0.39093510710337914,0.7678976160180907,0.5078558716958309,0.28555730900777376
04H120,1.984932166067412,0.08990511143939793,1.466274321789292,0.19589965240923368,0.0,0.0,2.8366911483234243,0.021189299069938092,0.012837224705172217,0.04921802267018165,0.0,0.012837224705172217,0.0,0.2148438480476979,1.1815577738627863,1.7853298350107671,0.7528164311882715
04H123,2.3646822956496716,0.021189299069938092,1.5566642621225686,0.09342168516223506,0.0,0.0,2.37524283026077,0.0,0.0,0.0,0.0,0.012837224705172217,0.0,0.6085260335771941,1.373095987078727,0.3891660843645325,1.3581252852766486
04H132,1.969928189428116,0.0,1.58849580100721,0.08990511143939793,0.0,0.0,2.6171681519737997,0.0,0.0,0.0,0.0,0.0,0.004321373782642578,0.15228834438305647,0.8344207036815325,1.885643871835764,1.2372923375674587
04H133,2.1498962071587604,0.0,1.5187770689267748,0.1205739312058499,0.0,0.0,2.715903110265449,0.07554696139253074,0.008600171761917567,0.0,0.0,0.021189299069938092,0.0,0.250420002308894,1.0166155475571774,0.35024801833416286,1.1408221801093106
04H135,2.158603699811477,0.021189299069938092,1.4156409798961542,0.3344537511509309,0.0,0.0,2.6871988790149497,0.0,0.0,0.0,0.0,0.0,0.0,0.4712917110589386,1.2030328870147107,1.1947917577219247,0.8926510338773004
04H138,2.0019067040408847,0.04532297878665747,1.103119253545714,0.056904851336472634,0.0,0.0,2.4943911643878907,0.0,0.008600171761917567,0.029383777685209667,0.0,0.008600171761917567,0.0,0.359835482339888,1.0644579892269186,1.35237549500052,0.9571281976768131
04H140,2.313825053809394,0.0,1.5198279937757189,0.08990511143939793,0.008600171761917567,0.0,2.6837492703947614,0.0,0.0,0.01703333929878037,0.0,0.012837224705172217,0.0,0.36172783601759284,0.9804578922761,1.2402995820027125,0.8864907251724818
05H008,2.2141813086638207,0.021189299069938092,1.550228353055094,0.24797326636180664,0.0,0.0,2.872785398110417,0.0,0.012837224705172217,0.0,0.0,0.0,0.008600171761917567,0.6404814369704218,1.2655253352190738,0.9122220565324155,0.8674674878590515
05H013,2.16542240081457,0.05307844348341968,1.235528446907549,0.1430148002540951,0.0,0.0,2.3521439124415826,0.0,0.0,0.01703333929878037,0.0,0.04532297878665747,0.0,0.19589965240923368,0.8208579894396999,1.0409976924234905,0.5976951859255123
05H025,2.316662147688631,0.04921802267018165,1.230959555748569,0.09342168516223506,0.0,0.029383777685209667,2.585663728828571,0.004321373782642578,0.05307844348341968,0.06069784035361165,0.0,0.0,0.0,0.07554696139253074,0.7176705030022621,0.07554696139253074,0.19589965240923368
05H030,2.247875109624604,0.0,1.636888906983799,0.3283796034387377,0.0,0.0,2.7958869660001966,0.004321373782642578,0.012837224705172217,0.0,0.0,0.0,0.0,0.787460474518415,1.0293837776852097,0.28103336724772754,1.1838390370564211
05H034,2.0938417669121283,0.06069784035361165,1.2704459080179626,0.24054924828259971,0.0,0.0,2.7197206513340024,0.11727129565576427,0.012837224705172217,0.0,0.0,0.0,0.0,0.22530928172586287,1.3049211619008918,1.0394141191761372,0.930949031167523
