,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50
03H095,0.014298427,0.013483567,-0.026485926,-0.026267145,0.008660922,0.01411357,0.0022258211,-0.017254092,0.010260579,0.00037294175,0.001223391,0.032080147,0.03112052,0.092497334,0.0072315186,-0.07829233,0.06958767,-0.020515647,0.0031038348,-0.011990039,0.0011063223,-0.00054677186,0.046376966,-0.0054815076,-0.09577998,0.04052339,-0.004870441,-0.120905,0.14274429,-0.011891282,0.12398337,-0.12321549,0.006934536,0.17451501,0.038423877,-0.040463556,-0.009608082,-0.011954052,0.0018894089,-0.010017386,-0.040444683,0.032519083,0.005110106,-0.0025605562,-0.061997537,-0.046382766,0.00032036068,0.01691819,-0.12366585,-0.040468138
03H109,-0.00435616,-0.08062638,0.0302793,0.07061011,-0.033685748,0.0053304625,-0.05654135,-0.07663723,0.0063239424,0.014084604,0.010200821,-0.039373804,0.0987833,0.077075295,-0.061637487,0.02854637,0.17415652,-0.02111719,0.01484188,-0.0063045323,-0.03351125,-0.0020676116,-0.06382812,-0.013805311,0.04853661,-0.060570575,-0.011933469,-0.042478368,0.18213353,0.046885267,0.0145469345,-0.039656207,0.007774857,-0.07858216,0.008883683,0.006321087,-0.007460655,0.024439534,-0.005459855,0.007682262,0.08350192,-0.019784054,0.0021627506,-0.008629461,0.053219423,0.0026036343,0.016344953,0.040904883,-0.11798656,-0.0066372594
03H112,-0.038106263,-0.13861866,-0.021634964,0.10376862,0.046272423,-0.003607953,-0.060411513,-0.079043575,0.00018559917,-0.008850769,0.0013599873,0.04006735,0.12004577,0.0059879827,-0.010055775,0.040904522,0.19840014,-0.040757548,-0.0013923969,0.001833459,0.022585876,-0.0041495087,-0.0116374055,0.0042457473,-0.0038361794,-0.07133223,0.0029000165,-0.035870854,0.16226096,-0.042907506,0.000106703425,-0.11308128,-0.007645044,-0.056353185,0.037296962,0.0011295167,-0.0026561902,0.015736036,-0.0011829273,-0.003110966,0.07467417,0.06407012,-0.0038992455,-0.0027792417,0.014833308,0.03170487,-0.0042484035,0.019664198,-0.045072198,-0.0027067014
03H116,-0.025607098,0.043304697,-0.09019684,0.20630117,-0.055865724,-0.0018287789,0.04078148,-0.04476079,-0.003681836,0.002409748,0.0070456397,0.07105577,0.06679643,0.07549075,0.062048472,0.07799682,0.117261335,-0.0023191646,0.010292649,-0.0006120908,-0.0010362273,0.008736072,-0.030969014,-0.003951427,0.0048452965,-0.004981457,0.0010041681,0.0020955333,-0.06367509,-0.030722784,-0.04189435,0.13941379,0.009577657,0.07004507,-0.03189859,0.010290357,-0.0021713234,0.011163021,-0.0038458214,-0.00189371,0.03694866,-0.046805162,-0.006934706,0.006654243,-0.08342804,-0.14476077,0.01135513,0.07855709,0.15681547,0.015165724
03H119,-0.013561177,-0.005922607,-0.010674268,-0.06252567,0.017766824,0.007125259,0.07072702,-0.037088685,0.015467093,0.0043161423,0.0044604577,-0.025755495,0.08418941,-0.06378733,-0.011838533,-0.06843282,0.04743417,0.0996326,-0.00051740464,-0.014561031,-0.03965755,-0.00033158046,0.06019359,-0.012252056,-0.07737855,-0.054437187,-0.012294074,0.050087135,0.17937538,0.057225376,-0.061938427,0.02393458,0.0073151123,0.0812866,0.02305805,-0.03799036,-0.022652224,0.009473542,-0.01401786,-0.011387878,0.078034654,0.056645095,0.008506112,-0.018855331,0.12813859,-0.08349505,0.019172871,0.018583387,-0.06494201,0.04848597
04H001,0.08392171,-0.026821665,-0.03188034,0.0868421,-0.050053764,-0.008848495,-0.059239227,-0.06447727,-0.0063488414,-0.004726193,0.0038638958,0.042089686,-0.048955075,-0.13528624,0.029056441,0.14650546,-0.06096125,-0.030661438,-0.005806881,0.00042884014,-0.04881972,-0.0063876268,0.0050471146,0.0005891048,0.07405686,-0.023630217,0.002038534,-0.04230861,-0.06453506,0.025017202,-0.11060267,0.09074365,-0.003670793,0.023085108,-0.047070023,-0.11532906,0.009087276,0.0140596,-0.003947881,0.0096018845,-0.04488524,-0.01475285,0.0019917402,0.0063912673,0.026114106,0.071816124,-0.0001542593,-0.060974974,-0.18869963,-0.05539398
04H017,8.789631e-05,0.10345325,-0.019914404,0.040078368,-0.0066750757,0.020591209,-0.073932774,-0.06404519,-0.0011108126,0.0014232561,0.01713645,-0.013245851,-0.036937848,-0.043409586,0.06948589,-0.011724794,-0.17610097,0.052823897,0.023823662,-0.008499834,0.0054266476,0.0031633137,0.0016180305,-0.00017981442,0.036544126,0.019728258,0.012412051,-0.032484792,0.20026398,0.034306996,0.011528999,-0.16228017,0.02344405,0.019047368,-0.022914393,0.02474816,0.016061977,0.08017526,-0.0027870042,0.0034035963,-0.082541026,0.07399594,-0.016536236,0.009827335,0.05045022,0.053242717,0.022589348,-0.05338378,0.12942527,0.010380388
04H024,0.0079729445,-0.051223736,0.14385274,0.08215743,0.095974,-0.002163222,0.013615707,-0.024752116,0.0068697305,-0.0033023104,0.0052959514,-0.0719533,-0.014944443,-0.047749862,0.055638473,0.10844058,0.123586915,-0.00936161,0.0029806164,-0.008535581,-0.061786275,0.0062585245,-0.06366745,-0.011209439,-0.11105814,0.06458911,-0.009098813,-0.16232137,0.031795982,-0.057443097,0.09567004,0.115604185,0.00941991,0.048011445,0.03241538,0.07435764,-0.004583751,0.046315942,-0.008987963,-0.0095237885,0.045750804,0.05916006,0.0020343917,-0.0006939987,0.057834517,0.011975207,0.019738413,0.02258323,0.13677034,-0.08369414
04H025,0.013113614,0.012393479,-0.06269415,-0.015583105,0.012687253,0.006615688,0.04805111,-0.050943486,0.002333274,-0.0016353255,0.003079674,-0.037178032,-0.1508434,0.02701081,0.02531247,-0.08852793,0.08269947,-0.06092925,0.007896699,0.00199253,0.018245602,0.007593445,-0.09589882,0.00401304,-0.019761981,0.007870883,-0.0029120464,0.019798309,0.129989,-0.005778879,-0.11688453,-0.046623528,0.016563106,-0.0031524175,-0.03618831,0.04097483,-0.004798596,0.053166073,-0.007843423,-0.0009322686,0.030449992,0.022197107,-0.008776887,-0.0060838396,0.045463357,-0.11035863,0.018035397,0.013177812,0.17779538,0.037015487
04H030,-4.1539643e-05,-0.01403833,-0.016679715,0.06623279,0.0056812833,-0.00431745,-0.07931809,-0.077909924,-0.003960885,0.0076077445,0.0052490537,0.0067747203,0.058885667,0.06859002,0.04946475,0.04104952,0.13853654,-0.07864119,-0.0025202371,0.004736253,0.040990483,0.006404168,-0.01934801,0.0038891877,-0.05723948,0.042840984,0.012700345,-0.05981918,0.056254126,0.06575834,0.0083669415,-0.12312099,0.005985718,-0.07081539,0.015695767,0.0001849751,0.0118905855,0.004438033,-0.005358852,0.0069441986,0.066854686,0.019664286,-0.007047581,0.00842827,0.06686184,0.009006506,0.00070767564,0.033051677,-0.11155107,0.019955777
